Abstract In this note, we show that a complete n-dim Riemannian manifold with nonnegative Ricci curvature is of finite topological type provided that the diameter growth of M is of order $$o(r^{((n-1)\alpha  1)/n})$$ o(r((n-1)α 1)/n) and the sectional curvature is no less than $$-{\frac{c}{r^{2\alpha }}}$$ -cr2α (here, $$0 \le \alpha \le 1$$ 0≤α≤1 and c is some positive constant) outside a geodesic ball large enough. In particular, if in a neighborhood of an isolated end of the manifold in question, the above assumptions are satisfied, then the end has a collared neighborhood.
alpha               0.7074940965058686^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Alpha                 

Ricci curvature               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Ricci_curvature       

alpha                         0.7074940965058686^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Alpha                 

neighborhood                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Neighbourhood_(mathematics)

sectional curvature           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Sectional_curvature   

Riemannian manifold           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Riemannian_manifold   

finite                        0.7690287159988062^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Finite_set            

neighborhood                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Neighbourhood_(mathematics)

alpha                         0.7074940965058686^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Alpha                 

topological                   0.9946077359905473^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Topology              

manifold                      0.9983237617444258^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Manifold              

geodesic                      0.999999944818059^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Geodesic              

ball                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Ball_(mathematics)    

