We consider a single‐server polling system consisting of two queues of fluid with arrival process generated by a big number of heavy‐tailed On/Off sources, and application in road traffic and communication systems. Class‐j fluid is assigned to queue j,                                                                                      j                     =                     1                     ,                     2                           . Server 2 visits both queues to process or let pass the corresponding fluid class. If there is class‐2 fluid in the system, it is processed by server 2 until the queue is empty, and only then server 2 visits queue 1, revisiting queue 2 and restarting the cycle as soon as new class‐2 fluid arrives, with zero switchover times. Server 1 is an ‘extra’ server which continuously processes class‐1 fluid (if there is any). During the visits of server 2 to queue 1, class‐1 fluid is simultaneously processed by both servers (possibly at different speeds). We prove a heavy‐traffic limit theorem for a suitable workload process associated with this model. Our limit process is a two‐dimensional reflected fractional Brownian motion living in a convex polyhedron. A key ingredient in the proof is a version of the Invariance Principle of Semimartingale reflecting Brownian motions which, in turn, is also proved.
servers             0.9933296299804327^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Server_(computing)    

fluid                         0.9928801388051355^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Fluid                 

On/Off                        0.9523809523752272^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/On/Off                

queue                         0.9991405143230722^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Queueing_theory       

fluid                         0.9928801388051355^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Fluid                 

queues                        0.9997975969440716^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Queueing_theory       

fluid                         0.9928801388051355^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Fluid                 

queue                         0.9991405143230722^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Queueing_theory       

convex polyhedron             0.9991446051089716^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Convex_polytope       

fluid                         0.9928801388051355^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Fluid                 

queue                         0.9991405143230722^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Queueing_theory       

communication                 0.9966016993082074^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Inter-process_communication

server                        0.9420818525408524^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Server_(computing)    

fluid                         0.9928801388051355^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Fluid                 

fluid                         0.9928801388051355^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Fluid                 

theorem                       0.9999999999529336^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Theorem               

Invariance                    0.9455777695449507^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Invariant_(physics)   

server                        0.9420818525408524^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Server_(computing)    

queue                         0.9991405143230722^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Queueing_theory       

server                        0.9420818525408524^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Server_(computing)    

server                        0.9420818525408524^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Server_(computing)    

queues                        0.9997975969440716^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Queueing_theory       

Brownian motions              0.968282353495032^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Brownian_motion       

queue                         0.9991405143230722^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Queueing_theory       

fractional Brownian motion    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Fractional_Brownian_motion

fluid                         0.9928801388051355^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Fluid                 

Semimartingale                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Semimartingale        

