Abstract The human dependency on finite fossil fuel has led to its drastic depletion. Along with its detrimental effects on the environment, such practice is now deemed unsustainable. This phenomenon has led to the growth for utilisation of biomass in the production of biofuels, biochemical and other related bioproducts. This waste-to-wealth strategy is no doubt highly beneficial to the society. However, the major challenge in the commercialisation of bioproducts production includes the complex conversion processes and the uncertainty in the supply and sources of biomass. Therefore, efficient supply chain management and optimisation is essential to overcome these barriers and variables that may constrain the development of a competitive and sustainable bioproducts market. This overview provides an extensional definition of biomass-to-bioproducts supply chain and systematically describes the problems and decisions along this chain. It also identifies the characteristics of a sustainable integrated biomass supply chain, and finally presents an overview of biomass supply chain synthesis and optimisation methods. Based on the existing research gap, the key challenges and potential future works are highlighted. This paper will provide readers with an initial point to understand the concept of sustainable biomass supply chain management and the synthesis and optimisation of sustainable biomass supply chain models.
biochemical         0.9999999357809223^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Biochemistry          

society                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Society               

biomass                       0.909396882621896^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Biomass               

supply chain                  0.999999961686627^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Supply_chain          

sustainable                   0.9999884191750937^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sustainability        

supply chain management       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Supply_chain_management

extensional definition        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Extensional_definition

biomass                       0.909396882621896^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Biomass               

bioproducts                   0.9999981507465964^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Agriculture           

supply chain management       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Supply_chain_management

supply chain                  0.999999961686627^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Supply_chain          

bioproducts                   0.9999981507465964^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Agriculture           

uncertainty                   0.9999999996367706^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Uncertainty           

variables                     0.9963045151115582^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Variable_(mathematics)

fossil fuel                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Fossil_fuel           

sustainable                   0.9999884191750937^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sustainability        

biofuels                      0.9999999898705028^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Biofuel               

sustainable                   0.9999884191750937^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sustainability        

biomass                       0.909396882621896^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Biomass               

biomass                       0.909396882621896^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Biomass               

biomass                       0.909396882621896^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Biomass               

sustainable                   0.9999884191750937^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sustainability        

finite                        0.9980676327981771^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Finite_set            

supply chain                  0.999999961686627^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Supply_chain          

initial point                 0.9999999032356801^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Geodetic_datum        

supply chain                  0.999999961686627^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Supply_chain          

bioproducts                   0.9999981507465964^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Agriculture           

biomass                       0.909396882621896^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Biomass               

