Abstract We examine the associations between audit partner pre-client and client-specific experience and audit quality using data from Taiwan, where signing audit partner names are disclosed. Using discretionary accruals and interest rate spreads to proxy for audit quality and perceptions of audit quality, respectively, we find that both pre-client and client-specific experience improve audit quality and creditor perceptions of audit quality. We also find that audit partner pre-client experience is positively associated with audit quality early in the engagement, but not when the partner has been with the client for at least five years. Our findings provide evidence consistent with the assumption underlying the Public Company Accounting Oversight Board’s decision to require the disclosure of engagement partner names. They also suggest that pre-client experience cannot completely mitigate the loss of client-specific knowledge when partner or audit firm turnover occurs.
client              0.9302807290732766^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Customer              

audit                         0.9996923129599818^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Audit                 

audit                         0.9996923129599818^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Audit                 

audit                         0.9996923129599818^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Audit                 

audit                         0.9996923129599818^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Audit                 

audit                         0.9996923129599818^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Audit                 

accruals                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Accrual               

audit                         0.9996923129599818^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Audit                 

audit                         0.9996923129599818^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Audit                 

audit                         0.9996923129599818^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Audit                 

Taiwan                        0.9997693392605597^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Taiwan                

interest rate                 0.9970751041007048^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Interest              

audit                         0.9996923129599818^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Audit                 

audit                         0.9996923129599818^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Audit                 

proxy                         0.9996772602921915^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Law_of_agency         

creditor                      0.9990558713083735^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Creditor              

Public Company Accounting Oversight Board1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Public_Company_Accounting_Oversight_Board

