Abstract Reaction Time (RT) is associated with increased amplitude of the Blood Oxygen-Level Dependent (BOLD) response in task positive regions. Few studies have focused on whether opposing RT-related suppression of task activity also occurs. The current study used two Go/No-go tasks with different cognitive demands to examine regions that showed greater BOLD suppression for longer RT trials. These RT-related suppression effects occurred within the DMN and were task-specific, localizing to separate regions for the two tasks. In the task requiring working memory, RT-related de-coupling of the DMN occurred. This was reflected by opposing RT-BOLD effects for different DMN regions, as well as by reduced positive RT-related Psycho-Physiological Interaction (PPI) connectivity within the DMN and a lack of negative RT-related PPI connectivity between DMN and task positive regions. The results suggest that RT-related DMN suppression is task-specific. RT-related de-coupling of the DMN with more complex task demands may contribute to lapses of attention and performance decrements that occur during cognitively-demanding tasks.
Reaction Time       0.9999999905977575^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Reaction_Time:_Climate_Change_and_the_Nuclear_Option

Go                            0.9998926770282757^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Go_(game)             

BOLD                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Functional_magnetic_resonance_imaging

working memory                0.9999999985398063^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Working_memory        

RT                            0.8754021952927844^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/RT_(TV_network)       

DMN                           0.9999999977557081^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Default_network       

DMN                           0.9999999977557081^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Default_network       

BOLD                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Functional_magnetic_resonance_imaging

DMN                           0.9999999977557081^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Default_network       

PPI                           0.9999263265561678^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Proton-pump_inhibitor 

PPI                           0.9999263265561678^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Proton-pump_inhibitor 

task positive                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Default_network       

DMN                           0.9999999977557081^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Default_network       

task positive                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Default_network       

DMN                           0.9999999977557081^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Default_network       

cognitive                     0.9972616681286901^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cognition             

DMN                           0.9999999977557081^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Default_network       

amplitude                     0.9999979109759571^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Amplitude             

DMN                           0.9999999977557081^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Default_network       

RT                            0.8754021952927844^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/RT_(TV_network)       

