Abstract Structural, electronic and optical properties of copper, silver and gold sulfides have been analyzed using density functional theory (DFT). A systematic study of all these properties using different functionals has been carried out and compared to the performance of more expensive hybrids functionals (HSE06). On-site Coulomb repulsion terms (DFT   U) and the inclusion of London dispersion forces (B86b-vdW) seem to be crucial for the good description of these solids, even improving the predictions of hybrids functionals in some cases. This article describes how the inclusion of some corrections in GGA functional makes possible a balanced description of the properties of this group of complex materials and makes affordable the future investigation of more complex systems that contain these solids within a reasonable computational cost.
silver              0.9999999783572096^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Silver                

functionals                   0.9994806499517676^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Functional_(mathematics)

Coulomb repulsion             1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Coulomb's_law         

DFT                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Density_functional_theory

optical                       0.9441080091294316^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Optics                

hybrids                       0.7198582326019773^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Hybrid_(biology)      

complex systems               0.9997514282023608^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Complex_systems       

sulfides                      0.9996201897302615^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sulfide               

London dispersion forces      0.9998084489314926^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Intermolecular_force  

functionals                   0.9994806499517676^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Functional_(mathematics)

copper                        0.9999995767945834^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Copper                

density functional theory     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Density_functional_theory

functionals                   0.9994806499517676^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Functional_(mathematics)

DFT                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Density_functional_theory

solids                        0.9780529557578351^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Solid                 

solids                        0.9780529557578351^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Solid                 

hybrids                       0.7198582326019773^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Hybrid_(biology)      

electronic                    0.9992212735850251^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Electron              

GGA                           0.9999999995030748^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/GGA1                  

gold                          0.9999998981344386^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Gold                  

