Abstract Key message K fertilization led to a significant increase in fine root biomass, fine root length, and root tip number in the mineral soil layer but does not affect the ecomycorrhizal community structure in the organic horizon. Context Potassium (K) deficiency is common in Picea abies in the European Alps. Fertilization with other nutrients often influences fine root biomass and ectomycorrhizas, but less is known about the effects of K-fertilization. Aims The aim of the investigation was to determine the effects of K-fertilization on stem growth and fine root biomass of Picea abies, as well as the influence on ectomycorrhizal community structure of the fine roots. Methods Eight years after a single fertilization of K-deficient Picea abies with 200 kg K ha−1, fine roots were collected from 7 control and 6 K-fertilized plots. Fine root biomass and morphology were determined. The identification of ectomycorrhizal taxa was determined by morphotyping and by amplification of the internal transcribed spacer region of the nuclear ribosomal DNA. Results K-fertilization did not affect the amount of fine root biomass and ectomycorrhizal community structure in the Oi   Oe and Oa layers but led to a significant increase in fine root biomass, fine root length, and root tip number in the mineral soil layer. Conclusion An increase in growth due to K-fertilization leads to great exploration of the mineral soil by fine roots but does not affect the ectomycorrhizal community structure in the organic horizons.
root                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Root                  

horizon                       0.9999997830759875^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Soil_horizon          

fine roots                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Root                  

organic                       0.999979249670755^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Organic_matter        

fine roots                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Root                  

stem                          0.9923161633925525^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Plant_stem            

fine roots                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Root                  

Picea abies                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Picea_abies           

organic                       0.999979249670755^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Organic_matter        

community structure           0.9999999999964757^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Community_structure   

ectomycorrhizal               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Mycorrhiza            

mineral                       0.9999999999199645^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Mineral               

ectomycorrhizal               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Mycorrhiza            

Potassium                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Potassium             

root                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Root                  

root                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Root                  

biomass                       0.9991703996800079^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Biomass               

biomass                       0.9991703996800079^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Biomass               

Alps                          0.9999043548325388^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Alps                  

Oi                            0.7851672076918955^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Oi_(telecommunications)

ectomycorrhizal               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Mycorrhiza            

biomass                       0.9991703996800079^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Biomass               

community structure           0.9999999999964757^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Community_structure   

mineral                       0.9999999999199645^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Mineral               

biomass                       0.9991703996800079^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Biomass               

biomass                       0.9991703996800079^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Biomass               

region                        0.9659772442856998^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Region                

Picea abies                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Picea_abies           

soil                          0.9999994406748983^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Soil                  

fertilization                 0.9999873547982655^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Fertilizer            

Fertilization                 0.9999929463714148^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Fertilizer            

root                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Root                  

root                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Root                  

ectomycorrhizas               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Mycorrhiza            

Oa                            0.9999999502744016^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Oa                    

nuclear                       0.9999999997296527^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cell_nucleus          

soil                          0.9999994406748983^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Soil                  

root                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Root                  

nutrients                     0.999991363171611^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Nutrient              

amplification                 0.999999998515932^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Polymerase_chain_reaction

internal transcribed spacer   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Internal_transcribed_spacer

taxa                          0.9892386350277951^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Taxon                 

root                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Root                  

root                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Root                  

root                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Root                  

