Tree species identity and tree genotypes contribute to the shaping of soil microbial communities. However, knowledge about how these two factors influence soil ecosystem functions is still lacking. Furthermore, in forest ecosystems tree genotypes co-occur and interact with each other, thus the effects of tree genotypic diversity on soil ecosystem functions merit attention. Here we investigated the effects of tree species, tree genotypes and genotypic diversity levels, alongside soil physicochemical properties, on the overall and specific soil enzyme activity patterns. Our results indicate that tree species identity, tree genotypes and genotypic diversity level have significant influences on overall and specific soil enzyme activity patterns. These three factors influence soil enzyme patterns partly through effects on soil physicochemical properties and substrate quality. Variance partitioning showed that tree species identity, genotypic diversity level, pH and water content all together explained ~30% variations in the overall patterns of soil enzymes. However, we also found that the responses of soil ecosystem functions to tree genotypes and genotypic diversity are complex, being dependent on tree species identity and controlled by multiple factors. Our study highlights the important of inter- and intra-specific variations in tree species in shaping soil ecosystem functions in a subtropical forest.
subtropical         0.9987022410098894^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Subtropics            

species                       0.8603815423021335^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Biodiversity          

genotypes                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Genotype              

genotypic                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Genotype              

Variance                      0.9999999999990905^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Variance              

tree                          0.7182966335252152^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Phylogenetic_tree     

soil                          0.9999217223125902^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Soil                  

soil                          0.9999217223125902^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Soil                  

ecosystem                     0.9999999995202415^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Ecosystem             

soil                          0.9999217223125902^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Soil                  

tree                          0.7182966335252152^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Phylogenetic_tree     

enzyme                        0.9999457025065644^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Enzyme                

enzyme                        0.9999457025065644^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Enzyme                

genotypes                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Genotype              

soil                          0.9999217223125902^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Soil                  

genotypic                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Genotype              

interact                      0.9253627840211391^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Interaction           

species                       0.8603815423021335^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Biodiversity          

tree                          0.7182966335252152^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Phylogenetic_tree     

tree                          0.7182966335252152^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Phylogenetic_tree     

microbial communities         0.9999998462042304^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/microbial_population_biology

genotypes                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Genotype              

tree                          0.7182966335252152^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Phylogenetic_tree     

