Abstract We study the problem of determining the majority type in an arbitrary connected network, each vertex of which has initially two possible types. The vertices may later change into other types, out of a set of a few additional possible types, and can interact in pairs only if they share an edge. Any (population) protocol is required to stabilize in the initial majority. First we prove that there does not exist any population protocol that always computes majority in any interaction graph by using at most 3 types per vertex. However this does not rule out the existence of a protocol with 3 types per vertex that is correct with high probability (whp). To this end, we examine an elegant and very natural majority protocol with 3 types per vertex, introduced in Angluin et al. (Distrib. Computing 21(2):87–102, 2008), whose performance has been analyzed for the clique graph. In particular, we study the performance of this protocol in arbitrary networks, under the probabilistic scheduler. We prove that, if the initial assignement of types to vertices is random, the protocol of Angluin et al. (Distrib. Computing 21(2):87–102, 2008) converges to the initial majority with probability higher than the probability of converging to the initial minority. In contrast, we show that the resistance of the protocol to failure when the underlying graph is a clique causes the failure of the protocol in general graphs.
scheduler           0.9999999158492336^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Scheduling_(computing)

protocol                      0.9999971991637154^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Communications_protocol

interact                      0.9886454208716192^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Interaction           

vertices                      0.984239297910678^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Vertex_(graph_theory) 

protocol                      0.9999971991637154^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Communications_protocol

vertex                        0.8943908004913048^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Vertex_(graph_theory) 

probability                   0.9982777113889788^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Probability           

vertex                        0.8943908004913048^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Vertex_(graph_theory) 

probability                   0.9982777113889788^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Probability           

graph                         0.9999483675143456^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Graph_(mathematics)   

protocol                      0.9999971991637154^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Communications_protocol

vertices                      0.984239297910678^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Vertex_(graph_theory) 

protocol                      0.9999971991637154^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Communications_protocol

network                       0.9744806505913411^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Flow_network          

graphs                        0.9999207674640607^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Graph_(mathematics)   

clique                        0.9998929035671879^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Clique_(graph_theory) 

graph                         0.9999483675143456^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Graph_(mathematics)   

vertex                        0.8943908004913048^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Vertex_(graph_theory) 

protocol                      0.9999971991637154^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Communications_protocol

clique                        0.9998929035671879^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Clique_(graph_theory) 

vertex                        0.8943908004913048^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Vertex_(graph_theory) 

whp                           0.9979186415108013^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Horsepower            

protocol                      0.9999971991637154^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Communications_protocol

protocol                      0.9999971991637154^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Communications_protocol

probability                   0.9982777113889788^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Probability           

converges                     0.9621435021970445^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Limit_(mathematics)   

probabilistic                 0.9999976415886593^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Randomized_algorithm  

graph                         0.9999483675143456^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Graph_(mathematics)   

resistance                    0.9980297591669194^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Electrical_resistance_and_conductance

protocol                      0.9999971991637154^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Communications_protocol

