Abstract The water vapor diffusion can be enhanced by the heating from municipal solid waste, and significantly impact the evaporation process in the earthen final cover. The parameters associated with the water vapor diffusion are usually measured by using the instantaneous profile method. This method is very time-consuming because the drying process lasts a long time. In this study, a bottom heating method is proposed to accelerate the drying process in a loess soil column. A constant temperature of 70 °C is applied at the bottom of the soil column. The thermo-hydraulic response of the loess is monitored along the soil column. A numerical model is developed to simulate the coupled thermo-hydraulic process. The numerical model is used to back analyze the tortuosity τ of the loess for vapor diffusion and the parameter a of an empirical evaporation function. We found that the bottom heating accelerated the drying process of the soil column by almost 22 d compared with the conditions without heating under the same evaporation boundary. Before Day 15, the proportions of the enhanced vapor flux in the total water loss were higher than 50%, dominating the evaporation process. The experimental and numerical study demonstrated that the proposed heating method is able to obtain the parameters of vapor diffusion more efficiently than the conventional method.
flux                0.9999999989499884^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Flux                  

loess                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Loess                 

evaporation                   0.9999999997475015^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Evaporation           

vapor                         0.599905997678454^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Vapor                 

empirical                     0.9993484710061235^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Empirical_evidence    

soil                          0.9999985276149953^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Soil                  

water                         0.9999996262899474^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Water                 

soil                          0.9999985276149953^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Soil                  

tortuosity                    0.9999999999997726^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Tortuosity            

loess                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Loess                 

water vapor                   0.9999997358631056^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Water_vapor           

diffusion                     0.9999999999891998^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Diffusion             

evaporation                   0.9999999997475015^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Evaporation           

vapor                         0.599905997678454^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Vapor                 

diffusion                     0.9999999999891998^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Diffusion             

evaporation                   0.9999999997475015^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Evaporation           

numerical model               0.9999949049026979^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Computer_simulation   

profile method                0.9999999999993179^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Claremont_Profile_Method

vapor                         0.599905997678454^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Vapor                 

numerical model               0.9999949049026979^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Computer_simulation   

soil                          0.9999985276149953^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Soil                  

diffusion                     0.9999999999891998^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Diffusion             

municipal solid waste         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Municipal_solid_waste 

soil                          0.9999985276149953^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Soil                  

function                      0.9999980789565632^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Function_(mathematics)

diffusion                     0.9999999999891998^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Diffusion             

loess                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Loess                 

evaporation                   0.9999999997475015^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Evaporation           

water vapor                   0.9999997358631056^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Water_vapor           

temperature                   0.999999761156488^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Temperature           

