Abstract There have been a slew of ready-made methods for the segmentation of univariate time series, but in contrast, there are fewer segmentation methods to satisfy the demand for multivariate time series analysis. It has become a common practice to develop more segmentation methods for multivariate time series by extending segmentation methods of univariate time series. But on the contrary, this paper tries to reduce multivariate time series to a univariate common factor sequence to adapt to the methods for segmentation of univariate time series. First, a common factor sequence is extracted from the multivariate time series as a composite index by a dynamic factor model. Then, three typical search methods including binary segmentation, segment neighborhoods and the pruned exact linear time are applied to the common factor sequence to detect the change points and the segmentation result is considered as the final segmentation result of multivariate time series. The case studies show the applicability and robustness of the proposed approach in hydrometeorological time series segmentation.
case studies        0.9999995601635704^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Case_study            

composite                     0.9190659392397621^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Function_composition  

sequence                      0.9999992355355483^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sequence              

segmentation                  0.9999999584924817^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Image_segmentation    

linear time                   0.9999733966263564^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Time_complexity       

time series                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Time_series           

segmentation                  0.9999999584924817^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Image_segmentation    

segmentation                  0.9999999584924817^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Image_segmentation    

segmentation                  0.9999999584924817^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Image_segmentation    

segmentation                  0.9999999584924817^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Image_segmentation    

time series analysis          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Time_series           

binary                        0.9994532805027521^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Binary_number         

segmentation                  0.9999999584924817^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Image_segmentation    

univariate time series        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Time_series           

segmentation                  0.9999999584924817^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Image_segmentation    

univariate time series        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Time_series           

multivariate                  0.953316189238673^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Multivariate_statistics

robustness                    0.999999975373726^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Robust_statistics     

time series                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Time_series           

hydrometeorological           0.999999972001206^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Hydrometeorology      

multivariate                  0.953316189238673^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Multivariate_statistics

multivariate                  0.953316189238673^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Multivariate_statistics

segmentation                  0.9999999584924817^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Image_segmentation    

time series                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Time_series           

univariate time series        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Time_series           

multivariate                  0.953316189238673^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Multivariate_statistics

univariate                    0.9999987551383146^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Univariate            

sequence                      0.9999992355355483^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sequence              

segmentation                  0.9999999584924817^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Image_segmentation    

multivariate                  0.953316189238673^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Multivariate_statistics

time series                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Time_series           

sequence                      0.9999992355355483^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sequence              

time series                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Time_series           

