Abstract.  Under the Riemann Hypothesis for the classical Riemann zeta function, there exist infinitely many arithmetically non-isomorphic arithmetical semigroups with the property that one of the associated L-functions vanishes at . Moreover, there are no restrictions in the distribution of prime divisors of a given norm except an obvious one concerning the order of magnitude.
semigroups          0.9999999999760689^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Semigroup             

Riemann zeta function         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Riemann_zeta_function 

magnitude                     0.8892802098074727^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Norm_(mathematics)    

Riemann Hypothesis            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Riemann_hypothesis    

classical                     0.9966085854785355^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Classical_mechanics   

L-functions                   0.8407630159025686^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/L-function            

arithmetical                  0.9801109816497897^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Arithmetic            

divisors                      0.8452036151858507^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Divisor               

non-isomorphic                0.9999999698997617^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Graph_isomorphism     

arithmetically                0.8529418448639529^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Arithmetic            

