Abstract Despite advances in ophthalmological care of premature infants, retinopathy of prematurity (ROP) remains a still unsolved problem for paediatricians as well as ophthalmologists. A survey of the current literature concerning drug therapy and surgical management as related to the different stages of ROP is given. The classification system for ROP according to the International Committee is presented as well as our screening policy in relation to the literature. The effectiveness in preventing severe cases of ROP and the toxicity of vitamin E supplementation in high-risk premature infants is still disputed and no recommendations can be given. Cryotherapy is recommended in symmetric cases of stage 3  ROP. Nevertheless, quite a number of eyes still progress to more severe stages of ROP. Scleral buckling procedures and vitrectomy may lead to anatomical success in a few cases of retinal detachment, however, the visual outcome of such an operation is usually very poor despite reattachment of the cental retina.
ROP                 0.6742909032382853^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/California_Association_of_Regional_Occupational_Centers_and_Programs

prematurity                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Preterm_birth         

retinal detachment            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Retinal_detachment    

screening                     0.9999999209194388^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Screening_(medicine)  

ROP                           0.6742909032382853^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/California_Association_of_Regional_Occupational_Centers_and_Programs

anatomical                    0.9999976481023313^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Anatomy               

symmetric                     0.9980889520654961^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Symmetry              

paediatricians                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Pediatrics            

ophthalmologists              1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Ophthalmology         

ophthalmological              1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Ophthalmology         

premature infants             1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Preterm_birth         

cental                        0.9975383043805071^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Central_America       

ROP                           0.6742909032382853^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/California_Association_of_Regional_Occupational_Centers_and_Programs

vitamin E                     0.9999999999914735^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Vitamin_E             

Scleral buckling              1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Scleral_buckle        

retina                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Retina                

surgical                      0.9999924085646467^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Surgery               

literature                    0.9995950168909323^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Literature            

premature infants             1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Preterm_birth         

ROP                           0.6742909032382853^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/California_Association_of_Regional_Occupational_Centers_and_Programs

current literature            0.9999999998142357^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Current_Literature    

ROP                           0.6742909032382853^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/California_Association_of_Regional_Occupational_Centers_and_Programs

vitrectomy                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Vitrectomy            

Cryotherapy                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Cryotherapy           

drug therapy                  0.6588781670760745^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Pharmaceutical_drug   

ROP                           0.6742909032382853^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/California_Association_of_Regional_Occupational_Centers_and_Programs

retinopathy                   0.999999999994202^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Diabetic_retinopathy  

toxicity                      0.9996552407547271^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Toxicity              

