Abstract  Purpose: To investigate the effect of diclofenac, a potent nonsteroidal anti-inflammatory drug, formulated in hyaluronan (diclofenac/HA) on angiogenesis in vitro and its intraocular toxicity in vivo. Methods: The effect of diclofenac/HA on angiogenesis was determined by choriocapillary endothelial cells on Matrigel stimulated by vascular endothelial growth factor (VEGF). The tube areas were quantified by image digital analysis. For toxicity study, diclofenac/HA was injected intravitreally with a dose range from 100 to 1080 µg in 26 rabbits following gas compression vitrectomy. Potential toxicity was assessed by indirect ophthalmoscopy and by histological studies (light and electron microscopy). Retinal function was monitored by electroretinography (ERG) in six rabbits that received 400 µg of diclofenac/HA. Results: Diclofenac/HA, 180, 90 µg/ml, inhibited tube formation to 24�nd 55�f the standard group (Media Ham’s F12 plus 5�etal calf serum and 50 ng/ml VEGF) respectively (P<0.01). Intravitreal injection of 540 µg or higher doses of diclofenac/HA resulted in ocular toxicity in the rabbit, demonstrated as cataract, vitreous haze and retinal damage observed by indirect ophthalmoscopy and light- and electron- microscopic examinations. No toxicity was observed in the eyes that received 400 µg or less diclofenac/HA, which was further supported by the normal ERG examined at 4 and 25 days post injection. Conclusions: Diclofenac/HA inhibits tube formation in vitro and is nontoxic to the rabbit retina at concentrations that are inhibitory to tube formation. Our results suggest diclofenac/HA may be an effective candidate to inhibit ocular neovascularisation related to granulomatous reaction in the eye.
granulomatous       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Granuloma             

gas                           0.9999999518720426^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Gas                   

rabbits                       0.9999999999095053^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Rabbit                

light                         0.9999896033702257^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Light                 

electron microscopy           0.9994115323729069^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Electron_microscope   

digital                       0.9899609571710992^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Digital_signal        

HA                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hyaluronan            

Diclofenac                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Diclofenac            

toxicity                      0.9090813602139951^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Toxicity              

diclofenac                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Diclofenac            

µg                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Microgram             

microscopic                   0.8403328126391403^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Histology             

retina                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Retina                

rabbit                        0.9999999999572537^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Rabbit                

µg                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Microgram             

serum                         0.7553400678653582^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Serum_(blood)         

light                         0.9999896033702257^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Light                 

rabbits                       0.9999999999095053^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Rabbit                

haze                          0.9999862534097134^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Haze                  

diclofenac                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Diclofenac            

calf                          0.9970858821385874^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Gastrocnemius_muscle  

µg                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Microgram             

histological                  0.9999999961960384^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Histology             

vitreous                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Vitreous_humour       

function                      0.999990767458586^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Function_(mathematics)

retinal                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Retina                

ERG                           0.999741860014158^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Ergative_case         

Ham                           0.6535244091392468^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Ham,_London           

F12                           0.9999999998365183^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Factor_XII            

HA                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hyaluronan            

µg                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Microgram             

diclofenac                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Diclofenac            

