Abstract PurposeTo evaluate the relationship between corneal and ocular higher order wavefront aberrations (HOAs) and age in young subjects aged 20 years or less. MethodsCorneal and ocular HOAs of the right eyes of 87 normal subjects were measured using videokeratography and the Hartmann–Shack wavefront aberrometer (KR-9000PW; Topcon Corp., Tokyo, Japan). The HOAs were calculated using Zernike polynomials up to the sixth order. From the Zernike coefficients, the root mean squares (RMS) of coma and spherical aberration were calculated. ResultsCorneal spherical-like aberrations significantly correlated with age (r = 0.420, p < 0.001); however, coma-like aberrations and total HOAs did not significantly correlate with age. None of the ocular HOAs significantly correlated with age. In addition, a gender-wise comparison of the collected data showed that corneal and ocular HOAs did not significantly correlate with age. ConclusionIn children, the corneal and ocular total HOAs did not vary with age. Compared to the previous reports in adults, we found fewer corneal and ocular HOAs in children.
root                0.9999375460943443^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Zero_of_a_function    

coefficients                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Coefficient           

aberrations                   0.9999999819305004^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Optical_aberration    

corneal                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Cornea                

ocular                        0.9999968756569537^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Human_eye             

HOAs                          0.9999941911452656^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Homeowner_association 

aberrations                   0.9999999819305004^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Optical_aberration    

HOAs                          0.9999941911452656^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Homeowner_association 

wavefront                     0.9999999999998863^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Wavefront             

ocular                        0.9999968756569537^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Human_eye             

HOAs                          0.9999941911452656^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Homeowner_association 

Topcon                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Topcon                

HOAs                          0.9999941911452656^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Homeowner_association 

(RMS)                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Royal_Mail_Ship       

videokeratography             1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Corneal_topography    

KR                            0.6569850743235639^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Knowledge_representation_and_reasoning

ocular                        0.9999968756569537^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Human_eye             

corneal                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Cornea                

ocular                        0.9999968756569537^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Human_eye             

aberrations                   0.9999999819305004^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Optical_aberration    

HOAs                          0.9999941911452656^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Homeowner_association 

corneal                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Cornea                

Zernike                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Frits_Zernike         

HOAs                          0.9999941911452656^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Homeowner_association 

wavefront                     0.9999999999998863^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Wavefront             

spherical aberration          0.999996470571635^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Optical_aberration    

corneal                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Cornea                

Tokyo, Japan                  0.9999994544049639^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Tokyo                 

ocular                        0.9999968756569537^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Human_eye             

HOAs                          0.9999941911452656^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Homeowner_association 

ocular                        0.9999968756569537^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Human_eye             

Zernike polynomials           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Zernike_polynomials   

HOAs                          0.9999941911452656^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Homeowner_association 

