Summary Based on large samples of written text. ‘Zipf:s Law’ holds that the logarithms of frequencies of words, and the number of different words at those frequencies, have an inverse linear relationship. This study tested this law on an oral sample by analysis of a transcribed interview which had been conducted for an unrelated study. A second purpose was to test whether the law holds differently for open- vs closed-class words. The words in the interview were tabulated by frequencies and numbers of words at each frequency, and separated by syntactic class. As Zipf found for written samples, the law provides a reasonable summary of the data for the less frequently used words but predicts fewer different words among the most frequently used words than were actually found. Linear regressions performed for each syntactic class revealed that the regression equation for open-class words provided the best fit to Zipf's law. The sample of closed-class words, containing a much smaller proportion of low frequency words, revealed a poor fit to Zipf's law.
regressions         0.9595991685795067^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Regression_analysis   

Zipf                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Zipf's_law            

Zipf                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Zipf's_law            

regression                    0.9350561205697286^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Regression_analysis   

Zipf                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Zipf's_law            

law                           0.9063168688319392^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Law                   

linear                        0.8864471658382008^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Linearity             

inverse                       0.9194092923030037^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Multiplicative_inverse

logarithms                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Logarithm             

Zipf                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Zipf's_law            

syntactic class               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Syntax                

frequency                     0.9713857986846964^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Frequency             

law                           0.9063168688319392^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Law                   

open-                         0.9995538093450558^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Open-source_software  

samples                       0.8755843093539458^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sample_(statistics)   

law                           0.9063168688319392^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Law                   

open-class                    0.9989218096615582^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Open_class_(linguistics)

frequencies                   0.9999163942918224^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Frequency             

closed-class                  0.983821912508011^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Function_word         

closed-class                  0.983821912508011^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Function_word         

frequencies                   0.9999163942918224^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Frequency             

frequency                     0.9713857986846964^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Frequency             

law                           0.9063168688319392^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Law                   

law                           0.9063168688319392^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Law                   

samples                       0.8755843093539458^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sample_(statistics)   

frequencies                   0.9999163942918224^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Frequency             

syntactic class               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Syntax                

