Summary Let X 1, X 2,..., X n be independent random variables having a common distribution in the domain of normal attraction of a completely asymmetric stable law with characteristic exponent α}(0,1) and support bounded below. Let X n:n ≧X n:n -1≧...≧X n:1 denote the ordered sample. We obtain the rate of convergence of n -1/α (X n:n  ... X n:n-k n 1 ) to the stable limit law as both n and k n »∞. As a consequence we obtain a representation of the sum X n:n  ... X n:n-k n 1 .
domain              0.9999999997658051^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Domain_of_a_function  

exponent                      0.9999974915009687^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Exponentiation        

stable                        0.8585962771815229^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Lyapunov_stability    

stable                        0.8585962771815229^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Lyapunov_stability    

bounded                       0.9972840385007715^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Interval_(mathematics)

convergence                   0.7414821925409626^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Limit_of_a_sequence   

asymmetric                    0.9999591452441937^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Symmetry              

random variables              0.9999999999765805^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Random_variable       

law                           0.6854879409614367^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Law                   

law                           0.6854879409614367^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Law                   

