Abstract Two studies examined three moderators (gender, attitudes, and media slant) and four mediators (accessibility, evidence importance, evidence plausibility, and standards of guilt) of general pretrial publicity's influence on juror decisions. In Study 1, participants who watched a prodefense rape story were more likely to report that they would need more inculpatory evidence to convict a defendant of rape than were participants who watched a proprosecution rape story. In Study 2, participants watched news stories, one of which was a proprosecution rape story, a prodefense rape story, or a nonrape story. In an ostensibly unrelated study, participants indicated their attitudes toward rape, watched a rape trial, and provided trial and witness ratings. Accessibility did not mediate the media effects on participants' judgments of rape importance; however, attitudes moderated media effects. Rape news influenced juror ratings of the importance of evidence about the complainant's behavior. Finally, media altered the standards participants used to determine defendant guilt. Implications for understanding the mechanisms responsible for pretrial publicity effects are discussed.
Accessibility       0.9991296590838028^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Accessibility         

defendant                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Defendant             

defendant                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Defendant             

rape                          0.9999999998269686^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Rape                  

Rape                          0.9999999999483862^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Rape                  

rape                          0.9999999998269686^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Rape                  

rape                          0.9999999998269686^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Rape                  

media effects                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Media_influence       

rape                          0.9999999998269686^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Rape                  

moderators                    0.9803138208876806^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Internet_forum        

rape                          0.9999999998269686^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Rape                  

rape                          0.9999999998269686^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Rape                  

media effects                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Media_influence       

rape                          0.9999999998269686^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Rape                  

inculpatory                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Inculpatory_evidence  

convict                       0.9999999996886118^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Conviction            

ratings                       0.9547940280171765^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Nielsen_ratings       

rape                          0.9999999998269686^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Rape                  

ratings                       0.9547940280171765^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Nielsen_ratings       

gender                        0.9991434163917736^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Gender                

