Abstract The purpose of this study was to investigate whether and how high school students’ cognitive tendencies in holistic/analytic style relate to their active or passive behavioral patterns observed in the classroom. It was speculated that academic intrinsic motivation might play the role as a moderator and learning approach (the structure-oriented approach versus the depth-oriented approach) might function as a mediator in the effects of holistic/analytic style on classroom learning behaviors. A sample of 1065 high school students in China were assessed in classroom learning behavior, holistic/analytic style, learning approach, and academic intrinsic motivation via the use of relevant measures. Results indicated that holistic style and analytic style were significant predictors of classroom learning behavior. The study also revealed significant moderation effects of intrinsic motivation and significant mediation effects of learning approach. Academic intrinsic motivation and learning approach were proven to be two relevant variables in unraveling the influence of holistic/analytic style on students’ behavioral performances in the classroom.
intrinsic motivation1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Motivation            

function                      0.9997538413622694^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Function_(mathematics)

mediation                     0.9999998422830583^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Mediation_(statistics)

high school                   0.9980840176275723^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/High_school           

intrinsic motivation          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Motivation            

intrinsic motivation          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Motivation            

analytic                      0.8861518616021767^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Analytic_philosophy   

China                         0.9997538366968008^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/China                 

analytic                      0.8861518616021767^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Analytic_philosophy   

variables                     0.9999814698712904^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Dependent_and_independent_variables

intrinsic motivation          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Motivation            

holistic                      0.9999999881066516^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Holism                

analytic                      0.8861518616021767^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Analytic_philosophy   

holistic                      0.9999999881066516^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Holism                

analytic                      0.8861518616021767^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Analytic_philosophy   

moderator                     0.9733260653657768^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Internet_forum        

cognitive                     0.9999999913103466^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cognition             

holistic                      0.9999999881066516^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Holism                

holistic                      0.9999999881066516^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Holism                

high school                   0.9980840176275723^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/High_school           

holistic                      0.9999999881066516^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Holism                

analytic                      0.8861518616021767^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Analytic_philosophy   

