Abstract  A new and original trend in the learning classifier system (LCS) framework is focussed on latent learning. These new LCSs call upon classifiers with a (condition), an (action) and an (effect) part. In psychology, latent learning is defined as learning without getting any kind of reward. In the LCS framework, this process is in charge of discovering classifiers which are able to anticipate accurately the consequences of actions under some conditions. Accordingly, the latent learning process builds a model of the dynamics of the environment. This model can be used to improve the policy learning process. This paper describes YACS, a new LCS performing latent learning, and compares it with ACS.
dynamics            0.9118781379596356^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Dynamical_system      

learning classifier system    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Learning_classifier_system

LCS                           0.9069759211895395^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Landing_Craft_Support 

classifiers                   0.9999995056471193^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Statistical_classification

LCSs                          0.9999999188841604^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Landing_Craft_Support 

LCS                           0.9069759211895395^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Landing_Craft_Support 

ACS                           0.9868310423666659^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/American_Chemical_Society

classifiers                   0.9999995056471193^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Statistical_classification

LCS                           0.9069759211895395^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Landing_Craft_Support 

latent learning               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Latent_learning       

latent learning               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Latent_learning       

latent learning               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Latent_learning       

psychology                    0.9999994110435779^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Psychology            

latent learning               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Latent_learning       

