Abstract Regional and national development policies play an important role to support local enterprises in Italy. The amount of financial aid may be a key feature for firms’ employment policies. We study the impact on employment of the amount of financial aid attributed to enterprises located in Piedmont, a region in northern Italy, analysing small-sized firms and medium- or large-sized firms separately. We apply generalized propensity score methods under the unconfoundedness assumption that adjusting for differences in a set of observed pre-treatment variables removes all biases in comparisons by different amounts of financial aid. We find that the estimated effects are increasing with amount of financial aid for both small-sized and medium- or large-sized firms, whereas the marginal effects of additional incentives are decreasing with amount of financial aid for small-sized firms, and have an inverse J-shape for medium- or large-sized firms.
Piedmont            0.9944555956396287^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Piedmont              

region                        0.6656705954663671^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Region                

financial aid                 0.5208528890652037^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Welfare               

financial aid                 0.5208528890652037^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Welfare               

financial aid                 0.5208528890652037^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Welfare               

Italy                         0.9996678558224942^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Italy                 

inverse                       0.84336055989518^^http://www.w3.org/2001/XMLSchema#double             http://dbpedia.org/resource/Multiplicative_inverse

financial aid                 0.5208528890652037^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Welfare               

financial aid                 0.5208528890652037^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Welfare               

variables                     0.998568856130966^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Dependent_and_independent_variables

Italy                         0.9996678558224942^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Italy                 

