Abstract We examine a supply chain in which a manufacturer supplies a single product to a retailer who faces two forms of customer returns. We compare the impact of these two forms of customer returns on the decisions and profits of the manufacturer and the retailer under various types of channel interaction: Manufacturer Stackelberg (MS), Vertical Nash (VN), and Retailer Stackelberg (RS). We find that when the level of customer returns that are proportional to quantity sold is extremely high, the retailer prefers the MS rather than the RS channel interaction. We also examine the impact of the asymmetric customer returns information on the decisions of the manufacturer and the retailer and on profits under MS and VN channel interactions. We show that in the MS case, the retailer can decide whether or not to share customer returns information with its manufacturer without knowing the manufacturer’s estimates of customer returns and in the VN case, both the retailer and the manufacturer can decide whether or not to share/acquire the information based on observation of the other’s behavior. The issues of sharing this information are also discussed.
Nash                0.9991636035261903^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Nash_Motors           

single                        0.8509312142414119^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Single_(music)        

retailer                      0.999997368618148^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Retail                

Stackelberg                   0.9999995603896934^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Stackelberg_competition

RS                            0.8305683526384374^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Quattro_GmbH          

MS                            0.9896434968079666^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Microsoft             

VN                            0.9999999973514377^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Holden_VN_Commodore   

retailer                      0.999997368618148^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Retail                

VN                            0.9999999973514377^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Holden_VN_Commodore   

retailer                      0.999997368618148^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Retail                

retailer                      0.999997368618148^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Retail                

supply chain                  0.9999592326253331^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Supply_chain          

VN                            0.9999999973514377^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Holden_VN_Commodore   

channel                       0.9466640036880194^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Channel_(communications)

asymmetric                    0.8152518513629048^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Asymmetry             

retailer                      0.999997368618148^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Retail                

channel                       0.9466640036880194^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Channel_(communications)

Stackelberg                   0.9999995603896934^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Stackelberg_competition

retailer                      0.999997368618148^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Retail                

MS                            0.9896434968079666^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Microsoft             

channel                       0.9466640036880194^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Channel_(communications)

MS                            0.9896434968079666^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Microsoft             

MS                            0.9896434968079666^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Microsoft             

RS                            0.8305683526384374^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Quattro_GmbH          

