Summary LetX 1,X 2,... be a sequence of independent random variables with common distribution functionF having zero mean, and let (S n ) be the random walk of partial sums. The weak and strong laws of large numbers, respectively, imply that for any α∈ℝ and ε>0 the probabilitiesP{S m >α εm} and $$Pm: = P\{ S_n > \alpha   \varepsilon n {\text{for some }}n \geqq m\} $$ tend to 0 asm tends to ∞. Building upon work of Bahadur and Ranga Rao [Ann. Math. Stat.31, 1015–1027 (1960)], Siegmund [Z. Wahrscheinlichkeitstheor. Verw. Geb.31, 107–113 (1975)], and Fill and Wichura [Probab. Th. Rel. Fields81, 189–212 (1989)], we produce complete asymptotic expansions for the probabilitiesP{S m >α εm} andp m .
Th                  0.9947258447704471^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Thorium               

Siegmund                      0.9349985286862057^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Die_Walküre           

Geb                           0.6772563512327426^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Geb                   

sequence                      0.9999999991231334^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sequence              

asm                           0.9660204723318053^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Assembly_language     

Bahadur                       0.6278866887076751^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Khan_(title)          

Rel                           0.7881913311927152^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Rel_(DBMS)            

partial sums                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Series_(mathematics)  

alpha                         0.8737625667026416^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Alpha_decay           

random variables              0.9999999761542998^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Random_variable       

Pm                            0.5729735725416151^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Metre                 

random walk                   0.9999999997902478^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Random_walk           

asymptotic expansions         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Asymptotic_expansion  

