Abstract This study employs the 1995 National Opinion Survey of Crime and Justice to examine the effect that media consumption (hours of television viewing per week, regular viewing of crime drama, and primary source of crime news) has on attitudes towards guns and gun control. Logistic regression results indicate that regular viewers of crime shows are more likely to oppose gun control and believe that firearms prevent crime. Respondents who receive their primary crime news from the print media are more likely to disagree with making it easier to conceal firearms. The author suggests that violent depiction of crime on television may influence viewers’ attitudes toward guns and gun control.
print media         0.9978568280607579^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Printing              

gun control                   0.9508538709627321^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Gun_control           

crime                         0.999997405633633^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Crime                 

Logistic regression           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Logistic_regression   

crime                         0.999997405633633^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Crime                 

firearms                      0.9999873217535012^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Firearm               

television                    0.9976395216402494^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Television            

gun control                   0.9508538709627321^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Gun_control           

crime                         0.999997405633633^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Crime                 

firearms                      0.9999873217535012^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Firearm               

gun control                   0.9508538709627321^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Gun_control           

media consumption             0.6172664406289823^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Public_relations      

crime                         0.999997405633633^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Crime                 

crime                         0.999997405633633^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Crime                 

crime drama                   0.6376097262225188^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Crime_film            

television                    0.9976395216402494^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Television            

Justice                       0.9489642921739064^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Justice               

