Abstract The north-south asymmetry for cosmic-ray particles was measured with one instrument of the PAMELA satellite-borne experiment in the period June 2006–May 2009. The analysis has been performed by two independent methods: by comparing the count rates in regions with identical geomagnetic conditions and by comparing the experimental distribution of particle directions with the simulated distribution that would be in the case of an isotropic particle flux. The dependences of the asymmetry on energy release in the PAMELA calorimeter and on time have been constructed. The asymmetry (N n − N s )/(N n   N s ) is 0.06 ± 0.004 at the threshold energy release in the calorimeter and gradually decreases with increasing energy release. The observed effect is shown to be produced by electrons in the energy range 10–100 GeV.
independent         0.9999999787306708^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Independence_(probability_theory)

energy                        0.9999997646126808^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Energy                

threshold energy              1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Threshold_energy      

asymmetry                     0.9398817418123936^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Antimatter            

particles                     0.999037197043303^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Particle_physics      

flux                          0.9999999874793276^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Flux                  

calorimeter                   0.9999999913466127^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Calorimeter           

particle                      0.9983992556785464^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Particle_physics      

GeV                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Electronvolt          

geomagnetic                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Earth's_magnetic_field

isotropic                     0.9999985696891823^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Isotropy              

particle                      0.9983992556785464^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Particle_physics      

energy                        0.9999997646126808^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Energy                

asymmetry                     0.9398817418123936^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Antimatter            

PAMELA                        0.9999999999998863^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Payload_for_Antimatter_Matter_Exploration_and_Light-nuclei_Astrophysics

energy                        0.9999997646126808^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Energy                

PAMELA                        0.9999999999998863^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Payload_for_Antimatter_Matter_Exploration_and_Light-nuclei_Astrophysics

cosmic-ray                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Cosmic_ray            

calorimeter                   0.9999999913466127^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Calorimeter           

asymmetry                     0.9398817418123936^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Antimatter            

