Abstract A new luminol derivative has been synthesized and its fluorescence has been studied. The luminol derivative emits at 460 nm in pH 10.0 phosphate buffer which is different from the original luminol that emits at 425 nm under the same conditions. Cu2  exhibits strong fluorescence quenching effect on the luminol derivative and the quenching mechanism is discussed in detail. This luminol derivative can be applied as a fluorescent probe for ultra-trace analysis of Cu2 . The effects of pH, interferents and the stability have also been investigated. The fluorescent probe shows good reproducibility, and the relative standard deviation of response to Cu2  is 0.7�n = 6). The lower linear range and the limit of detection are 0–500 and 0.27 nmol L−1, respectively.
derivative          0.9983021062844041^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Derivative            

luminol                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Luminol               

derivative                    0.9983021062844041^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Derivative            

nm                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nanometre             

luminol                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Luminol               

luminol                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Luminol               

fluorescence                  0.9999974892751566^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Fluorescence          

pH                            0.9999994415347114^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/PH                    

phosphate                     0.9832612580477924^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Phosphate             

luminol                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Luminol               

quenching                     0.9999995783015018^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Quenching_(fluorescence)

buffer                        0.9999999876538369^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Buffer_solution       

quenching                     0.9999995783015018^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Quenching_(fluorescence)

derivative                    0.9983021062844041^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Derivative            

relative standard deviation   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Relative_standard_deviation

synthesized                   0.3995121726757201^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Organic_synthesis     

pH                            0.9999994415347114^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/PH                    

luminol                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Luminol               

fluorescent                   0.9999997426695348^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Fluorescence          

reproducibility               0.9999999997634177^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Reproducibility       

derivative                    0.9983021062844041^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Derivative            

nmol                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Mole_(unit)           

linear range                  0.9999999998958629^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Linear_range          

nm                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nanometre             

fluorescence                  0.9999974892751566^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Fluorescence          

fluorescent                   0.9999997426695348^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Fluorescence          

