Abstract Temperature-dependent emission spectra and fluorescence dynamics profiles have been investigated in Pr3 :Y4Al2O9 crystals in order to better understand the processes responsible for quenching of the praseodymium 3P0 emissions. The cross-relaxation transfer rates were experimentally determined as a function of temperature. Using the rate equations formalism, the dynamics of the observed emissions were modeled. Basing on comparison between the measured and calculated decays, the energy transfer rates between Pr3  ions were evaluated. The role of the backward process in explanation of the complicated character of 3P0 decays and its temperature dependence, especially its unexpectedly slow decaying component, were established.
fluorescence        0.9996100099690055^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Fluorescence          

temperature                   0.9999904768725243^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Temperature           

praseodymium                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Praseodymium          

Pr3                           0.9999999982532017^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Runestone_styles      

emission spectra              0.9961123106525263^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Emission_spectrum     

energy transfer               0.9999978304607227^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Energy_transfer       

quenching                     0.9998537928280676^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Quenching_(fluorescence)

crystals                      0.9365275153618393^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Crystal               

dependence                    0.9999999608299966^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Dependent_and_independent_variables

rate equations                0.999896935982304^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Rate_equation         

dynamics                      0.5771717374411469^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Dynamical_system      

Pr3                           0.9999999982532017^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Runestone_styles      

dynamics                      0.5771717374411469^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Dynamical_system      

formalism                     0.9821402293107877^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Formal_system         

cross-relaxation              1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Relaxation_(NMR)      

temperature                   0.9999904768725243^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Temperature           

ions                          0.9999995108044064^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Ion                   

function                      0.9999612984258438^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Function_(mathematics)

Basing                        0.9928328004343991^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Old_Basing            

