Abstract A set of 106 limb CMEs which are wide and could be possible halo events, when directed towards Earth, are used to check the accuracy of the asymmetric cone model. For this purpose characteristics of CMEs (widths and radial speeds) measured for the possible halo CMEs are compared with these obtained for halo CMEs using the asymmetric cone model (Michalek, Solar Phys. 237, 101, 2006). It was shown that the width and speed distributions for both datasets are very similar and with a probability of p>0.93 (using the Kolmogorov – Smirnov test) were drawn from the same distribution of events. We also determined the accurate relationship between radial (V rad) and expansion (V exp) speeds of halo CMEs. This relation for the halo CMEs is simply V rad=V exp and could be very useful for space weather application.
Phys                0.999997806138841^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/PHY_(chip)            

probability                   0.6110626505278608^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Probability           

Earth                         0.9999999999935199^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Earth                 

halo                          0.7774493091976737^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Halo_(optical_phenomenon)

halo                          0.7774493091976737^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Halo_(optical_phenomenon)

halo                          0.7774493091976737^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Halo_(optical_phenomenon)

CMEs                          0.9999999980973371^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Coronal_mass_ejection 

CMEs                          0.9999999980973371^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Coronal_mass_ejection 

rad                           0.9993801044583065^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Radian                

cone                          0.9999989783291984^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cone                  

asymmetric                    0.5447461442261475^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Symmetry              

CMEs                          0.9999999980973371^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Coronal_mass_ejection 

asymmetric                    0.5447461442261475^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Symmetry              

CMEs                          0.9999999980973371^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Coronal_mass_ejection 

radial                        0.9999999998466365^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Radius                

CMEs                          0.9999999980973371^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Coronal_mass_ejection 

halo                          0.7774493091976737^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Halo_(optical_phenomenon)

cone                          0.9999989783291984^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cone                  

space weather                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Space_weather         

Kolmogorov                    0.9999999998550493^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Andrey_Kolmogorov     

CMEs                          0.9999999980973371^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Coronal_mass_ejection 

datasets                      0.999999999962256^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Data_set              

halo                          0.7774493091976737^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Halo_(optical_phenomenon)

radial                        0.9999999998466365^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Radius                

rad                           0.9993801044583065^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Radian                

