Abstract  Originally developed for the replication of high aspect ratio LIGA structures, micro injection molding is presently on its way to become an established manufacturing process. Enhanced technological products like micro optical devices are entering the market. New developments like the different kinds of injection molding with several components open up opportunities for increasing economic efficiency as well as for new fields of applications. Software tools for the simulation of the thermal household of the molding tool and/or the moldfilling process itself can provide useful but not wholly sufficient assistance for the optimization of micro injection molding.
replication         0.7061774725172337^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Self-replication      

simulation                    0.9222540074210254^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Simulation            

injection molding             1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Injection_molding     

economic efficiency           0.9997970485558109^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Economic_efficiency   

micro                         0.9999600746509509^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Microfluidics         

molding                       0.9971727405685323^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Molding_(process)     

manufacturing                 0.7247696729620765^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Computer-aided_manufacturing

micro                         0.9999600746509509^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Microfluidics         

optical devices               0.7279951622740302^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Optoelectronics       

injection molding             1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Injection_molding     

optimization                  0.7796403335892373^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Process_optimization  

micro                         0.9999600746509509^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Microfluidics         

aspect ratio                  0.9990843189083224^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Aspect_ratio          

injection molding             1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Injection_molding     

LIGA                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/LIGA                  

