Abstract BackgroundThe 4-item index of the 19-item Acne-Quality of Life (Acne-QoL) has been validated in English (AcneQ4). French translation and linguistic validation of the Acne-QoL have recently been completed (Acne-QoLfr). PurposeThis study sought to evaluate reliability and responsivity of the French version of the AcneQ4 (AcneQ4fr). MethodsCalculation of intraclass correlation coefficients (ICC) and regression modeling was performed to evaluate reliability (comparing Day 0 to Day 2–3 responses) and responsivity (comparing Day 0 to Day 60  responses). ResultsThirty-four native French-speaking acne subjects in Quebec, Canada (n = 20) and France (n = 14) completed the Acne-QoLfr on 3 occasions over 3 months (Day 0, Day 2–3, and Day 60 ). Of 14 completed responses for Day 0 and Day 2–3, ICC for AcneQ4fr was 0.73 (with 95 �onfidence interval (0.348, 0.905) and P value 0.001), and mean score difference was 0.85 (range of possible scores for AcneQ4fr: 0–24; P = 0.41). Of 19 completed responses for Day 0 and Day 60 , ICC for Acne-Q4fr was 0.45 (with 95 �onfidence interval (0.046, 0.728) and P value 0.015) and mean score difference was 4.14 (P = 0.001). ConclusionsThe abbreviated AcneQ4fr is somewhat reflective of the entire Acne-QoLfr and by its brevity may facilitate psychometric evaluation of francophone acne patients in routine practice.
France              0.9999655287781667^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/France                

responsivity                  0.9999999953868155^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Responsivity          

ICC                           0.9804091843298143^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/International_Cricket_Council

4-                            0.9992042116829446^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Flat-four_engine      

translation                   0.9997268986861715^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Translation           

interval                      0.9998984906235607^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Level_of_measurement  

French                        0.9980305908102244^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/French_language       

French                        0.9980305908102244^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/French_language       

responsivity                  0.9999999953868155^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Responsivity          

Canada                        0.9999673667082017^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Canada                

Quebec                        0.9982464443357475^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Quebec                

francophone                   0.5476954248177689^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/French_language       

acne                          0.9999999807912447^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Acne_vulgaris         

interval                      0.9998984906235607^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Level_of_measurement  

correlation coefficients      0.9999581304472545^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Pearson_product-moment_correlation_coefficient

ICC                           0.9804091843298143^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/International_Cricket_Council

ICC                           0.9804091843298143^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/International_Cricket_Council

regression                    0.9992760482136298^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Linear_regression     

intraclass correlation        0.9999999997488658^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Intraclass_correlation

English                       0.9991384681402018^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/English_language      

linguistic validation         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Linguistic_validation 

French-speaking               0.9950733092061722^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/French_language       

acne                          0.9999999807912447^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Acne_vulgaris         

psychometric                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Psychometrics         

