Abstract  In this paper we prove that Basic Logic (BL) is complete w.r.t. the continuous t-norms on [0, 1], solving the open problem posed by Hájek in [4]. In fact, Hájek proved that such completeness theorem can be obtained provided two new axioms, B1 and B2, were added to the original axioms of BL. The main result of the paper is to show that B1 and B2 axioms are indeed redundant. We also obtain an improvement of the decomposition theorem for saturated BL-chains as ordinal sums whose components are either MV, product or Gödel chains, in an analogous way as for continuous t-norms. Finally we provide equational characterizations of the variety of BL-algebras generated by the three basic BL subvarieties, as well as of the varieties generated by each pair of them, together with completeness results of the calculi corresponding to all these subvarieties.
t-norms             0.9999999903867547^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/T-norm                

completeness theorem          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Gödel's_completeness_theorem

redundant                     0.9818686710545016^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Redundancy_(engineering)

B2                            0.994488898262791^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Riboflavin            

decomposition                 0.9923195129811581^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Orthogonal_functions  

Logic                         0.9999996472543611^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Logic                 

calculi                       0.970646799320146^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Calculus              

varieties                     0.9378289937513329^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Variety_(universal_algebra)

saturated                     0.9992478615213524^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Saturation_(chemistry)

B2                            0.994488898262791^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Riboflavin            

axioms                        0.6516457640519316^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Universal_algebra     

axioms                        0.6516457640519316^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Universal_algebra     

open problem                  0.9999808936692642^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Open_problem          

BL                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/BL_(logic)            

B1                            0.9988293101631364^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Thiamine              

continuous                    0.9999998535363482^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Continuous_function   

continuous                    0.9999998535363482^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Continuous_function   

Gödel                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Kurt_Gödel            

subvarieties                  0.9999999999995453^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Algebraic_variety     

theorem                       0.9999999990791366^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Theorem               

t-norms                       0.9999999903867547^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/T-norm                

BL                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/BL_(logic)            

MV                            0.9545704687710702^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Volt                  

ordinal                       0.9999995595719444^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Ordinal_number        

B1                            0.9988293101631364^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Thiamine              

axioms                        0.6516457640519316^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Universal_algebra     

subvarieties                  0.9999999999995453^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Algebraic_variety     

BL.                           0.9999999999984084^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Beatification         

