Abstract Through the B3LYP/6-311  G(d,p) calculations, theoretical studies of structural parameters, electronic properties, infrared vibration modes, and charge density topologies on the C2H4O∙∙∙HX and C2H5N∙∙∙HX (X = F or O–F) heterocylic hydrogen complexes are presented. The H-bond distances and high energies point out strong contacts and stable interactions in these complexes, and the relationships between the frequency shifts on the H–F and H–O bonds as well as O–F σ-holes with the interaction strength are the benchmarks of this current work. The computations of charge transfer amounts in light of the ChelpG and NBO approaches revealed a separation of charge density on the O–F σ-holes, whose statement is reinforced by the QTAIM descriptors. Despite that O∙∙∙H and N∙∙∙H H-bonds have been characterized as closed-shell interactions, qualitatively the appearance of a partial covalent profile also was unveiled by the QTAIM protocol.
hydrogen            0.9240458116784935^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Hydrogen              

stable                        0.9999740730218553^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Stability_theory      

vibration                     0.5058977170335266^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Oscillation           

light                         0.9064845582624848^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Light                 

charge transfer               0.9996661448793771^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Charge-transfer_complex

electronic                    0.9984336125411674^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Electron              

HX                            0.9994361447646452^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/HX_convoys            

H-bond                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hydrogen_bond         

closed-shell                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Electron_shell        

H-bonds                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hydrogen_bond         

covalent                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Covalent_bond         

benchmarks                    0.48705230986863024^^http://www.w3.org/2001/XMLSchema#double          http://dbpedia.org/resource/Benchmark_(computing) 

infrared                      0.9999981493907697^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Infrared_spectroscopy 

frequency shifts              1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Doppler_effect        

HX                            0.9994361447646452^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/HX_convoys            

topologies                    0.9999999980352641^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Topology              

B3LYP                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hybrid_functional     

protocol                      0.9999975857890188^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Communications_protocol

