Abstract Two novel amide-based receptors were synthesized under microwave irradiation. Their chemical structures were confirmed by IR, 1H NMR, 13C NMR, and elemental analysis. The binding properties of these amide-based receptors to various anions (H2PO4 −, HSO4 −, C6H5CO2 −, CH3CO2 −, ClO4 −, F−, Cl−, and Br−) were examined by UV titration in THF at 20 °C. The results indicated that the receptors form 1:1 complexes with anions and they have the strongest affinity for fluoride (F−) among the anions considered. Molecular dynamics calculations by AMBER and quantum mechanical calculations performed at the B3LYP and M062X levels of theory using the 6-31   g(d,p) basis set provided models for the complexation mode between the receptors and anions and yielded binding energies for the complexes. Graphical abstractThe computed interaction mode of tripodals (1a and 1b) with fluoride.
fluoride            0.9978917135863192^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Fluoride              

Molecular dynamics            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Molecular_dynamics    

anions                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Ion                   

receptors                     0.9999997071517301^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Receptor_(biochemistry)

microwave irradiation         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Microwave_chemistry   

1H NMR                        0.9999999999972715^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Nuclear_magnetic_resonance_spectroscopy

binding energies              0.9999999982045438^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Binding_energy        

chemical structures           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Chemical_structure    

anions                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Ion                   

titration                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Titration             

complexation                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Coordination_complex  

UV                            0.9704323375024488^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Ultraviolet–visible_spectroscopy

IR                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Infrared_spectroscopy 

AMBER                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/AMBER                 

basis set                     0.9999997857078372^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Basis_set_(chemistry) 

receptors                     0.9999997071517301^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Receptor_(biochemistry)

receptors                     0.9999997071517301^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Receptor_(biochemistry)

quantum mechanical calculations1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Computational_chemistry

Cl−                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Chloride              

fluoride                      0.9978917135863192^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Fluoride              

Br−                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Bromide               

anions                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Ion                   

ClO4                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Perchlorate           

THF                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Tetrahydrofuran       

affinity                      0.9964844862504753^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Dissociation_constant 

elemental                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Chemical_element      

B3LYP                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hybrid_functional     

13C NMR                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Carbon-13_NMR         

receptors                     0.9999997071517301^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Receptor_(biochemistry)

C.                            0.9999986929873913^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Celsius               

anions                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Ion                   

