Abstract Five plant leaf extracts (Pine, Persimmon, Ginkgo, Magnolia and Platanus) were used and compared for their extracellular synthesis of metallic silver nanoparticles. Stable silver nanoparticles were formed by treating aqueous solution of AgNO3 with the plant leaf extracts as reducing agent of Ag  to Ag0. UV-visible spectroscopy was used to monitor the quantitative formation of silver nanoparticles. Magnolia leaf broth was the best reducing agent in terms of synthesis rate and conversion to silver nanoparticles. Only 11 min was required for more than 90�onversion at the reaction temperature of 95 °C using Magnolia leaf broth. The synthesized silver nanoparticles were characterized with inductively coupled plasma spectrometry (ICP), energy dispersive X-ray spectroscopy (EDS), scanning electron microscopy (SEM), transmission electron microscopy (TEM), and particle analyzer. The average particle size ranged from 15 to 500 nm. The particle size could be controlled by changing the reaction temperature, leaf broth concentration and AgNO3 concentration. This environmentally friendly method of biological silver nanoparticles production provides rates of synthesis faster or comparable to those of chemical methods and can potentially be used in various human contacting areas such as cosmetics, foods and medical applications.
concentration       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Concentration         

TEM                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Transmission_electron_microscopy

UV-visible spectroscopy       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Ultraviolet–visible_spectroscopy

Persimmon                     0.9991944060869732^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Persimmon             

leaf                          0.999957403402317^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Leaf                  

inductively coupled plasma    0.9999956552215988^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Inductively_coupled_plasma_mass_spectrometry

silver nanoparticles          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Silver_nanoparticles  

plant                         0.9270628791461585^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Plant                 

silver nanoparticles          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Silver_nanoparticles  

leaf                          0.999957403402317^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Leaf                  

AgNO3                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Silver_nitrate        

