Abstract  The evolution of calcareous dinoflagellate communities has been investigated for the latest Cretaceous to earliest Neogene interval of the mid-latitude South Atlantic. In doing so, the response of calcareous dinoflagellates to Cenozoic climatic change has been addressed for the first time. Trends in species composition and distribution patterns of wall types indicate significant changes which correlate with major palaeoenvironmental modifications. A first major shift concerning the relative abundance of species and wall types occurred across the Cretaceous–Tertiary boundary. The associations remained stable during the entire Paleocene and Eocene. Only in the late Eocene did a dramatic decrease in temperature cause a slight diversification. A second major shift in the abundance patterns occurred across the Eocene–Oligocene boundary. The early Miocene warming is possibly reflected in the distinct increase in relative abundance of one species. The assemblages of calcareous dinoflagellates evidently react to major climatic changes during the Cenozoic. These poorly investigated organisms may thus provide an important contribution to the understanding of earth's palaeoclimatic evolution.
climatic            0.9993614066651907^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Paleoclimatology      

species                       0.999998197623573^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Speciation            

palaeoenvironmental           0.9999502276533102^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Palaeogeography       

calcareous                    0.9999799309104467^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Calcareous            

species                       0.999998197623573^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Speciation            

dinoflagellate                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Dinoflagellate        

Eocene                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Eocene                

Miocene                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Miocene               

assemblages                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Fossil                

diversification               0.7250206002273576^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Evolutionary_radiation

Cretaceous                    0.9996941610644368^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cretaceous            

calcareous                    0.9999799309104467^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Calcareous            

stable                        0.9999998864060509^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Stable_isotope        

organisms                     0.7722763813926472^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Organism              

calcareous                    0.9999799309104467^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Calcareous            

species                       0.999998197623573^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Speciation            

evolution                     0.9999998351254498^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Evolution             

dinoflagellates               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Dinoflagellate        

temperature                   0.9919460967112564^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Temperature           

Eocene                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Eocene                

Neogene                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Neogene               

Cenozoic                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Cenozoic              

interval                      0.5775992913290463^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Time                  

South Atlantic                0.999999892310035^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Atlantic_Ocean        

evolution                     0.9999998351254498^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Evolution             

Paleocene                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Paleocene             

Cenozoic                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Cenozoic              

dinoflagellates               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Dinoflagellate        

climatic change               0.9642150731700674^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Climate_change        

