Abstract  Pore water concentration profiles of sediments at a site on the Amazon Fan were investigated and simulated with the numerical model CoTReM (column transport and reaction model) to reveal the biogeochemical processes involved. The pore water profiles for gravity core GeoB 4417-7 showed a distinct sulfate–methane transition zone in which deep sulfate reduction occurs. Only a small sulfide peak could be observed at the reaction zone. Due to high amounts of iron minerals, the produced sulfide is instantaneously precipitated in form of iron sulfides. We present a simulation which starts from a steady state system with respect to pore water profiles for methane and sulfate. Furthermore, sulfide, iron, pH, pE, calcium and total inorganic carbon (TIC) were included in the simulation. The program calculated mineral equilibria to mackinawite, iron sulfides (more stable than mackinawite), iron hydroxides and calcite via saturation indices (SI) by a module incorporating the program PHREEQC (Parkhurst 1995). The measured sulfide and iron profiles are obtained in the simulation output by using a constant SI (=0) for mackinawite and calcite, while a depth dependent SI distribution is applied for the PHREEQC phases “Pyrite” and “Fe(OH)3(a)”, representing a composition and the kinetics of different iron sulfides and iron hydroxides. These SI distributions control the results of sulfide and iron pore water profiles, especially conserving the sulfide profile at the reaction zone during the simulation. The results suggest that phases of iron hydroxides are dissolved, mackinawite is precipitated within, and other iron sulfides are precipitated below the reaction zone. The chemical reactivity of iron hydroxides corresponds to the rate of sulfide production. The system H2O–CO2–CaCO3 is generally successfully maintained during the simulation. Deviations to the measured pH profile suggest that further processes are active which are not included in the simulation yet.
iron hydroxides     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Iron_oxide            

sulfate                       0.9990828872489268^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sulfate               

simulation                    0.999992162353029^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Computer_simulation   

Parkhurst                     0.9995123679045552^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/HM_Prison_Parkhurst   

SI                            0.9999999998894964^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/International_System_of_Units

iron                          0.6457949591507153^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Iron_oxide            

sulfide                       0.999999833647976^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Sulfide               

stable                        0.9942474100700971^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Stable_isotope        

saturation                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Saturation_(chemistry)

simulation                    0.999992162353029^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Computer_simulation   

gravity                       0.9999990491507988^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Gravitation           

Pyrite                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Pyrite                

calcite                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Calcite               

iron                          0.6457949591507153^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Iron_oxide            

chemical reactivity           0.9555090184364946^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Chemical_reaction     

mackinawite                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Mackinawite           

iron                          0.6457949591507153^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Iron_oxide            

iron hydroxides               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Iron_oxide            

methane                       0.9999999999874944^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Methane               

transport                     0.9429366007078733^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sediment_transport    

module                        0.9873145319115311^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Solar_energy          

simulation                    0.999992162353029^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Computer_simulation   

simulation                    0.999992162353029^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Computer_simulation   

iron                          0.6457949591507153^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Iron_oxide            

calcium                       0.8292236078569365^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Calcium_carbonate     

iron                          0.6457949591507153^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Iron_oxide            

concentration                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Concentration         

iron                          0.6457949591507153^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Iron_oxide            

SI                            0.9999999998894964^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/International_System_of_Units

mineral                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Mineral               

simulation                    0.999992162353029^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Computer_simulation   

iron hydroxides               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Iron_oxide            

iron hydroxides               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Iron_oxide            

sulfide                       0.999999833647976^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Sulfide               

iron                          0.6457949591507153^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Iron_oxide            

calcite                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Calcite               

peak                          0.9999984979149216^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Peak_oil              

sulfides                      0.9999999992312496^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sulfide               

sulfides                      0.9999999992312496^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sulfide               

pE                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Reduction_potential   

mackinawite                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Mackinawite           

pore water                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Groundwater           

pore water                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Groundwater           

pore water                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Groundwater           

numerical model               0.9999877545780571^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Computer_simulation   

Fe                            0.6926892168130357^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Iron_oxide            

minerals                      0.9988056308188124^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Mineral               

iron                          0.6457949591507153^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Iron_oxide            

pH                            0.9999999846461379^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/PH                    

mackinawite                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Mackinawite           

total inorganic carbon        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Total_inorganic_carbon

sulfide                       0.999999833647976^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Sulfide               

biogeochemical processes      0.987652568383661^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Biogeochemical_cycle  

sulfide                       0.999999833647976^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Sulfide               

