Summary BackgroundTo evaluate long-term outcomes after endokeratoplasty in patients with endothelial disorders. Material and methodsFifty-three eyes of 45 patients with vision loss due to Fuchs’ corneal dystrophy, pseudophakic bullous keratopathy, bullous keratopathy secondary to glaucoma, and deep stromal scarring.All patients underwent a personally modified microkeratome-assisted technique of endokeratoplasty between June 2002 and September 2008. All surgeries were performed at the Department of Ophthalmology, Medical University of Vienna by one surgeon (CS). Examinations during follow-up included complete eye examination, best-corrected visual acuity testing, ultrasound pachymetry (Pachymeter SP-2000, Tomey Corporation, Nagoya, Japan) as well as endothelial cell count (Noncon ROBO-CA, Konan-Keeler, Kobe, Japan). ResultsMean age was 70 years (ranging from 43 to 95 years). Mean follow-up period for all patients was 32 months (ranging from 1 to 60 months). Mean visual acuity increased from 0.972 logMAR at baseline to 0.278 after 60 months of follow-up (n = 16, p = 0.007). Mean endothelial cell density decreased from 2,797 cells/mm2 at baseline (donor tissue) to 989 cells/mm2 (n = 15, − 65 �p < 0.001) after 60 months. Postoperative mean corneal thickness increased from 530 μm (n = 32) at month 3 to 586 μm (n = 15,   11 �p = 0.003) after 60 months of follow-up. Five eyes (9 �experienced graft failure and required reoperation with donor exchange. ConclusionsAlthough new techniques like DMEK/DSAEK nowadays have replaced the endokeratoplasty procedure, long-term results are comparable to the long-term outcome of modern lamellar endothelial procedures. Endokeratoplasty might remain a possible alternative to penetrating keratoplasty in patients with endothelial disorders and scarring of the posterior stroma by providing faster wound healing and better preservation of corneal surface and thus a better rehabilitation of visual acuity.
tissue              0.6325170248296642^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Tissue_(biology)      

Ophthalmology                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Ophthalmology         

graft                         0.999954322688204^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Graft_(surgery)       

bullous keratopathy           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Bullous_keratopathy   

vision loss                   0.9999999996985025^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Vision_loss           

scarring                      0.9999999996798579^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Scar                  

lamellar                      0.99994649041142^^http://www.w3.org/2001/XMLSchema#double             http://dbpedia.org/resource/Lamella_(anatomy)     

corneal dystrophy             1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Corneal_dystrophy     

eye examination               0.9999999999995453^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Eye_examination       

endothelial                   0.9999998631101428^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Corneal_endothelium   

stromal                       0.9999999999838565^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Stroma_of_cornea      

bullous keratopathy           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Bullous_keratopathy   

endothelial cell              1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Endothelium           

pseudophakic                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Intraocular_lens      

wound healing                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Wound_healing         

visual acuity                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Visual_acuity         

rehabilitation                0.9999999984795522^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Physical_therapy      

ultrasound                    0.9999952807790975^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Ultrasound            

corneal                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Cornea                

SP                            0.9891727104019725^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Substance_P           

pachymetry                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Corneal_pachymetry    

Japan                         0.999999654752915^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Japan                 

Pachymeter                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Corneal_pachymetry    

mm2                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Force_field_(chemistry)

stroma                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Stroma_of_cornea      

penetrating keratoplasty      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Corneal_transplantation

density                       0.999975119770005^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Density               

posterior                     0.9999999999988631^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Anatomical_terms_of_location

CS                            0.9985900350596542^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Classical_conditioning

Vienna                        0.9904467325387352^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Vienna                

corneal                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Cornea                

Five eyes                     0.9999999999777174^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/UKUSA_Agreement       

μm                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Micrometre            

endothelial                   0.9999998631101428^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Corneal_endothelium   

μm                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Micrometre            

surgeon                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Surgery               

