Abstract The prevalence of patchy structures in vegetation is a common feature in semi-arid ecosystems. Although the effect of patches on seed density is widely known, we still lack information on how patch features affect seed bank density and composition. Our aim was to answer two basic questions: (1) How do seed bank density and composition vary within and outside patch aboveground physical limits? and (2) Do patch characteristics affect soil seed bank density and composition? We sampled 50 shrub patches in a semi-arid gypsum system in Central Spain, measuring patch size, composition and structure, and seed bank at three locations per shrub (centre, edge and outside). We calculated the effect of interior patch location, patch composition and structure on seed density and composition. Patches acted both as seed sources, increasing seed density in neighbouring areas and as seed sinks by trapping seeds from bare areas. Patch structure (erect perennial cover) had the greatest effect on seed bank density, whereas patch size and microslope had the greatest influence on bare area density. Patch structure, composition and interior location explained the variation in seed bank composition. Patch effect extends to the surrounding bare matrix creating a seed bank gradient in density and composition. This effect is modulated by patch structure and composition and affects seed bank composition. Our results suggest that the spatial structure of gypsum community seed banks may act as a mechanism for a spatial storage effect contributing to the maintenance of high levels of diversity in semi-arid environments
perennial           0.9999999954457053^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Perennial_plant       

Central                       0.9617529339394251^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Central_America       

Spain                         0.9999565986458653^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Spain                 

gypsum                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Gypsum                

bank                          0.7551958382721723^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Bank_(geography)      

bank                          0.7551958382721723^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Bank_(geography)      

prevalence                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Prevalence            

ecosystems                    0.9999996900166278^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Ecosystem             

density                       0.9999999981737346^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Density               

bank                          0.7551958382721723^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Bank_(geography)      

shrub                         0.9999999885336593^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Shrub                 

density                       0.9999999981737346^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Density               

gradient                      0.9999485032660277^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Gradient              

density                       0.9999999981737346^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Density               

vegetation                    0.9992119778307689^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Vegetation            

density                       0.9999999981737346^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Density               

bank                          0.7551958382721723^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Bank_(geography)      

soil seed bank                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Soil_seed_bank        

density                       0.9999999981737346^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Density               

semi-arid                     0.9616438581756386^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Prairie               

density                       0.9999999981737346^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Density               

area density                  0.9999999999968168^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Area_density          

bank                          0.7551958382721723^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Bank_(geography)      

semi-arid                     0.9616438581756386^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Prairie               

semi-arid                     0.9616438581756386^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Prairie               

density                       0.9999999981737346^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Density               

bank                          0.7551958382721723^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Bank_(geography)      

bank                          0.7551958382721723^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Bank_(geography)      

sampled                       0.9484536271472889^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sampling_(statistics) 

matrix                        0.9996614221597256^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Matrix_(mathematics)  

gypsum                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Gypsum                

seeds                         0.9999997190831603^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Seed                  

seed banks                    0.5873824056996416^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Seedbank              

modulated                     0.9793328414226495^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Modulation            

density                       0.9999999981737346^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Density               

bank                          0.7551958382721723^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Bank_(geography)      

shrub                         0.9999999885336593^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Shrub                 

