Abstract  The indoor climate of livestock buildings is of importance for the well-being and health of animals and their production performance (daily weight gain, milk yield etc). By using a steady-state model for the sensible and latent heat fluxes and the CO2 and odour mass flows, the indoor climate of mechanically ventilated livestock buildings can be calculated. These equations depend on the livestock (number of animals and how they are kept), the insulation of the building and the characteristics of the ventilation system (ventilation rate). Since the model can only be applied to animal houses where the ventilation systems are mechanically controlled (this is the case for a majority of finishing pig units), the calculations were done for an example of a finishing pig unit with 1000 animal places. The model presented used 30 min values of the outdoor parameters temperature and humidity, collected over a 2-year period, as input. The projected environment inside the livestock building was compared with recommended values. The duration of condensation on the inside surfaces was also calculated.
mass flows          0.9979484923455938^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Mass_flow_rate        

humidity                      0.773695421262766^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Humidity              

livestock                     0.9999980205147078^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Livestock             

temperature                   0.9999999783830165^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Temperature           

ventilation                   0.9987758371941521^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Ventilation_(architecture)

weight gain                   0.9339034295539564^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Obesity               

latent heat                   0.9999999975119636^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Latent_heat           

condensation                  0.9995837619114017^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Condensation          

pig                           0.968357840768912^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Pig                   

well-being                    0.7526633221561896^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Quality_of_life       

ventilation                   0.9987758371941521^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Ventilation_(architecture)

odour                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Odor                  

pig                           0.968357840768912^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Pig                   

steady-state                  0.9999991583803325^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Steady_state          

ventilation                   0.9987758371941521^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Ventilation_(architecture)

climate                       0.9947724321457271^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Climate               

milk                          0.9998963278753846^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Milk                  

CO2                           0.9999938321422307^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Carbon_dioxide        

mechanically ventilated       0.9999999938812607^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/HVAC                  

fluxes                        0.9999987484751374^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Flux                  

climate                       0.9947724321457271^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Climate               

livestock                     0.9999980205147078^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Livestock             

health                        0.9999857663849564^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Health                

livestock                     0.9999980205147078^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Livestock             

insulation                    0.996608582389886^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Thermal_insulation    

livestock                     0.9999980205147078^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Livestock             

