Abstract Sound-speed and density contrasts (h and g, respectively), important acoustic material properties, of Japanese sandeel Ammodytes personatus were measured to estimate theoretical target strength (TS). The measured sound-speed contrast of adult fish varied between 1.016 and 1.023 (mean 1.020), and showed temperature dependence. The measured density contrast differed significantly between juvenile and adult. The density contrast of juvenile varied between 1.017 and 1.024 (1.021), and that of adult varied between 1.026 and 1.038 (1.032). Using these results, TS at 38 and 120 kHz in the fishing season were estimated by an empirical sound scattering model. TS of an individual fish varied significantly with change of tilt angle. TS of near-dorsal aspect (TSmax) and tilt-averaged TS (TSave) differed by up to 7 dB. At both frequencies, two different TSave−length relationships (TSave = a log L   b) were obtained for adult and juvenile. The coefficients of log L of adult were close to 20, suggesting that backscattering strength was proportional to square of body length. These values were larger in juvenile (34.0 at 120 kHz, 56.5 at 38 kHz), suggesting that backscattering strength varied drastically with the cube or fifth power of body length.
density             0.9999994520197015^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Density               

coefficients                  0.9999999999998863^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Coefficient           

cube                          0.5955765871495452^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cube                  

scattering                    0.9987812059733243^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Scattering            

backscattering                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Backscatter           

temperature                   0.9999897056235435^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Temperature           

Japanese                      0.6605773395024012^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Japan                 

frequencies                   0.999989407759977^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Frequency             

fish                          0.9999999468735737^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Fish                  

backscattering                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Backscatter           

TS                            0.6796904783930646^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Toppserien            

TS                            0.6796904783930646^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Toppserien            

sandeel                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Sand_eel              

kHz                           0.8308232803416679^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sound                 

kHz                           0.8308232803416679^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sound                 

acoustic                      0.9999999997770601^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Acoustics             

TS                            0.6796904783930646^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Toppserien            

density                       0.9999994520197015^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Density               

TS                            0.6796904783930646^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Toppserien            

empirical                     0.9999987845469033^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Empirical_evidence    

fishing                       0.9999712027688797^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Fish                  

angle                         0.999990375078418^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Angle                 

density                       0.9999994520197015^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Density               

kHz                           0.8308232803416679^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sound                 

TS                            0.6796904783930646^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Toppserien            

Ammodytes personatus          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Ammodytes_personatus  

dependence                    0.9999465268368943^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Dependent_and_independent_variables

fish                          0.9999999468735737^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Fish                  

target strength               0.9999999999969305^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Target_strength       

