Abstract We studied the effects of slightly elevated temperature (T), O3 concentration (O3) and their combination (T   O3) on the antioxidant defense, gas exchange and total leaf area of Betula pendula saplings in field conditions. During the second year of the experiment, T enhanced the total leaf area, net photosynthesis (P n) and maximum capacity of carboxylation, redox state of ascorbate and total antioxidant capacity in the apoplast. O3 did not affect the total leaf area, but P n was slightly and g s significantly reduced. The saplings responded to elevated O3 level by closing the stomata and by developing leaves with a lower leaf area per mass, rather than by accumulating ascorbate in the apoplast. The effects of T and O3 on total leaf area and P n were counteractive. Elevated O3 reduced the saplings’ ability to utilize the warmer growth environment by increasing the stomatal limitation for photosynthesis and by reducing the redox state of ascorbate in the apoplast in the combination treatment as compared to T alone.
The saplings        0.999999999225679^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/The_Saplings          

O3                            0.9995223966135333^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Oxygen                

Betula pendula                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Betula_pendula        

photosynthesis                0.9999999999952252^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Photosynthesis        

carboxylation                 0.9810553963228876^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Carboxylic_acid       

O3                            0.9995223966135333^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Oxygen                

O3                            0.9995223966135333^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Oxygen                

net photosynthesis            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Photosynthesis        

saplings                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Tree                  

leaf                          0.999999995898861^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Leaf                  

apoplast                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Apoplast              

O3                            0.9995223966135333^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Oxygen                

gas exchange                  0.9828108850121869^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Gas_exchange          

temperature                   0.9999981233485743^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Temperature           

antioxidant                   0.9999999947082188^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Antioxidant           

O3                            0.9995223966135333^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Oxygen                

antioxidant                   0.9999999947082188^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Antioxidant           

O3                            0.9995223966135333^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Oxygen                

saplings                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Tree                  

stomatal                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Stoma                 

apoplast                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Apoplast              

leaves                        0.9999999999982947^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Leaf                  

leaf                          0.999999995898861^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Leaf                  

apoplast                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Apoplast              

stomata                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Stoma                 

leaf                          0.999999995898861^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Leaf                  

leaf                          0.999999995898861^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Leaf                  

leaf                          0.999999995898861^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Leaf                  

mass                          0.9999186091032861^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Mass                  

redox                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Redox                 

O3                            0.9995223966135333^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Oxygen                

concentration                 0.9999999186278534^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Concentration         

redox                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Redox                 

