Summary Studies have been carried out on the Mg2  Ca2 -myofibrillar ATPase from the muscles of fish adapted to different environmental temperatures. The thermal stability of the ATPase is strongly correlated with mean habitat temperature. Activities of Antarctic fish ATPases are significantly higher at low temperatures than those of temperate and tropical water species. The effects of ionic strength on ATPase activity have also been studied. The Gibbs free energy of activation (ΔG #) was found to increase and enzyme activity decrease with increasing ionic strength within the physiological temperature range of each species. Significantly lower values of ΔG #, of around 1 Kcal/mole, are obtained for the ATPase of cold-adapted compared to tropical fish. Enthalpic and entropic activation energies were also reduced in the cold adapted ATPases. It is postulated that the reduction of the enthalpic activation term in the cold adapted enzyme confers the advantage of reducing the temperature sensitivity of the rate limiting step thus partly compensating for the low heat content of the cellular environment. Possible molecular mechanisms of temperature compensation in fish myofibrillar ATPase are discussed.
ATPase              1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/ATPase                

species                       0.7023198911651763^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Chemical_species      

temperature                   0.9999998754561907^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Temperature           

mole                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Mole_(unit)           

heat content                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Enthalpy              

tropical fish                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Tropical_fish         

temperature                   0.9999998754561907^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Temperature           

sensitivity                   0.9987514811972489^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Stimulus_(physiology) 

entropic                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Entropy               

muscles                       0.9085093613202695^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Skeletal_striated_muscle

fish                          0.9989994967234177^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Fish                  

ATPase                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/ATPase                

enthalpic                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Enthalpy              

myofibrillar                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Myofibril             

fish                          0.9989994967234177^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Fish                  

ATPase                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/ATPase                

ionic strength                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Ionic_strength        

rate limiting step            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Rate-determining_step 

tropical                      0.9997520965751505^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Tropics               

physiological                 0.9993870311417615^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Physiology            

thermal stability             0.9987088207810096^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Thermostability       

species                       0.7023198911651763^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Chemical_species      

