Abstract.  Nectarivory has evolved many times in birds: although best known in hummingbirds, sunbirds and honeyeaters, it also occurs on an opportunistic basis in a varied assortment of birds. We present a phylogenetic analysis of the distribution of nectarivory in birds. Specialised avian nectarivores are generally small, with an energetic lifestyle and high metabolic rates. Their high degree of dependence on nectar as a food source has led to convergence in morphological, physiological and behavioural adaptations. We examine the constituents of nectar which are most important to bird consumers, and how the birds deal with them in terms of physiology and behaviour. There are still unanswered questions: for example, the dichotomy between sucrose-rich nectars in hummingbird-pollinated plants and predominantly hexose-rich nectars in sunbird-pollinated plants appears to have little to do with bird physiologies and may rather reflect patterns of nectar secretion.
nectars             1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nectar                

avian                         0.9999999931607135^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Bird                  

morphological                 0.9999999485322646^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Morphology_(biology)  

nectarivores                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nectarivore           

hummingbirds                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hummingbird           

birds                         0.9999999397909978^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Bird                  

plants                        0.9751284065837621^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Plant                 

dichotomy                     0.9998515485415304^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Dichotomy             

sunbirds                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Sunbird               

phylogenetic                  0.9999995473588003^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Phylogenetics         

physiologies                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Human_body            

birds                         0.9999999397909978^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Bird                  

nectar                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nectar                

nectar                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nectar                

physiological                 0.9994009506674524^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Physiology            

convergence                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Convergent_evolution  

physiology                    0.9993343588826358^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Physiology            

plants                        0.9751284065837621^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Plant                 

dependence                    0.7162136892850998^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Dependent_and_independent_variables

birds                         0.9999999397909978^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Bird                  

bird                          0.9999999791597249^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Bird                  

secretion                     0.9999973995545294^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Secretion             

nectar                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nectar                

birds                         0.9999999397909978^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Bird                  

metabolic rates               0.7323644543033184^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Basal_metabolic_rate  

nectars                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nectar                

bird                          0.9999999791597249^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Bird                  

