Abstract  Branch water exchange and total tree water uptake were measured in a mixed Norway spruce and Scots pine stand in central Sweden during the 1995 and 1996 growing seasons. Branch transpiration was scaled to canopy level on the basis of a branch conductance model, using vertical needle-area distributions obtained by destructive sampling. Comparison with total tree water uptake scaled to canopy level showed agreement within 10�for periods when the canopy was not affected by climatically induced stress. Comparison of scaled fluxes on individual trees showed that measurements of transpiration at branch level provide information on the direct response of transpiration to variations in weather, and furthermore that the time-lag between transpiration and tree water uptake was as much as 3 h. The vertical needle-area distribution of Scots pine was similar to that found by other authors. Needle-area distribution on Norway spruce, which has not been described before, showed that it has its largest needle area at the top of the crown. Specific needle area varied considerably both within trees and between trees. For spruce, mean specific needle area (±SD) varied from 2.4±0.5 mm2 mg–1 at the top of the crown to 7.1±1.9 mm2 mg–1 at the base. Corresponding figures for Scots pine were 3.4±2.0 and 9.1±2.1.
weather             0.9999924759696318^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Weather               

water                         0.9999985821159318^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Water                 

canopy                        0.9999999709256149^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Canopy_(biology)      

canopy                        0.9999999709256149^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Canopy_(biology)      

stress                        0.9662688802154686^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Stress_(mechanics)    

tree                          0.9999999756100809^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Tree                  

Sweden                        0.9999917743901479^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sweden                

mm2                           0.9999999999755573^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Force_field_(chemistry)

transpiration                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Transpiration         

needle                        0.6000221135441771^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Compass               

Scots pine                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Scots_Pine            

water                         0.9999985821159318^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Water                 

Scots pine                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Scots_Pine            

transpiration                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Transpiration         

mm2                           0.9999999999755573^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Force_field_(chemistry)

needle                        0.6000221135441771^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Compass               

needle                        0.6000221135441771^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Compass               

tree                          0.9999999756100809^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Tree                  

tree                          0.9999999756100809^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Tree                  

growing seasons               0.9999838585637127^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Growing_season        

Norway spruce                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Picea_abies           

fluxes                        0.9999999938686415^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Flux                  

spruce                        0.7959288708780242^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Spruce                

transpiration                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Transpiration         

water                         0.9999985821159318^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Water                 

transpiration                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Transpiration         

water                         0.9999985821159318^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Water                 

canopy                        0.9999999709256149^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Canopy_(biology)      

Norway spruce                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Picea_abies           

crown                         0.9999997865282012^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Crown_(botany)        

sampling                      0.9570027782871247^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sampling_(statistics) 

SD                            0.9574814860330031^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Secure_Digital        

Scots pine                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Scots_Pine            

climatically                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Climate               

crown                         0.9999997865282012^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Crown_(botany)        

conductance                   0.7651589945696285^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Electrical_resistance_and_conductance

