Abstract  The correlation between spiral grain formation and crown asymmetry was investigated in 18 Scots pine (Pinus sylvestris L.) and 17 Norway spruce [Picea abies (L.) Karst.] trees selected from clones of each species growing in the south of Sweden. The angle between the longitudinal direction of the tracheids in the outermost year ring compared to the longitudinal direction of the stem was measured by scribing lines which followed the direction of the tracheids. The crown asymmetry was measured by taking photographs of the trees followed by a simple picture analysis of the tree. Wind data for the growing seasons of 1997 and 1998 were obtained from the Swedish Meteorological and Hydrological Institute. The results showed a significant correlation between the angle of the tracheids compared to the stem longitudinal direction going from a left-handed angle if the trees had a crown projected to the north towards a right-handed angle the more the crown projects to the south.
asymmetry           0.7463859549522811^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Symmetry              

stem                          0.8051135214500779^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Plant_stem            

ring                          0.6097031595111172^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Ring_(mathematics)    

Norway spruce                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Picea_abies           

Picea abies                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Picea_abies           

crown                         0.9989368182361147^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Crown_(botany)        

angle                         0.9999575926567098^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Angle                 

tracheids                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Tracheid              

species                       0.9993565153324432^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Species               

Sweden                        0.9999758945750297^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sweden                

spiral                        0.9999748352720609^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Spiral                

correlation                   0.9999988015431788^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Correlation_and_dependence

angle                         0.9999575926567098^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Angle                 

Scots pine                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Scots_Pine            

right-handed                  0.6528270531933278^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Handedness            

asymmetry                     0.7463859549522811^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Symmetry              

Pinus sylvestris              1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Scots_Pine            

clones                        0.9996679530270094^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cloning               

left-handed                   0.9996074482062107^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Gastropod_shell       

tree                          0.9999999897639782^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Tree                  

angle                         0.9999575926567098^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Angle                 

tracheids                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Tracheid              

growing seasons               0.999963340955971^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Growing_season        

stem                          0.8051135214500779^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Plant_stem            

angle                         0.9999575926567098^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Angle                 

crown                         0.9989368182361147^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Crown_(botany)        

Swedish                       0.9797399341635649^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sweden                

grain                         0.9041638862512891^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cereal                

Karst                         0.9999971934908719^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Karst                 

correlation                   0.9999988015431788^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Correlation_and_dependence

crown                         0.9989368182361147^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Crown_(botany)        

tracheids                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Tracheid              

crown                         0.9989368182361147^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Crown_(botany)        

