Abstract  Soils from valley oak (Quercus lobata Nee) riparian areas of the Cosumnes River Nature Conservancy Preserve near Sacramento, California were added to growth medium of valley oak seedlings grown in a greenhouse or in agricultural fields at Cosumnes which probably once supported valley oak trees and are now replanted with native riparian vegetation or allowed to revegetate naturally. Agricultural field soil from the Cosumnes River Preserve was presumed to be low or lacking in ectomycorrhizal inoculum. The study was designed to (1) determine whether valley oak stand soil transfer could cause mycorrhizal infection on valley oak seedlings in an agricultural field and in a greenhouse, (2) describe ectomycorrhizal morphological types formed on valley oak seedlings, and (3) determine whether seedling growth is enhanced more by transfer of natural valley oak stand soil than agricultural field soil. In the field study, transfer of forest soil increased average ectomycorrhizal diversity (2.4 types) more than transfer of agricultural field soil (1.2 types). Valley oak seedlings were responsive to ectomycorrhizal infection in the field study. With increase in mycorrhizal infection there was an increase in shoot growth at the expense of root growth. In the greenhouse study, both percent mycorrhizal infection and mycorrhizal diversity were increased more by transfer of oak forest and woodland soils than agricultural field soil. Eight morphotypes occurred on seedlings in forest and woodland soils but only three morphotypes in agricultural soil. This result strongly suggests that the agricultural field also harbors ectomycorrhizal propagules but forest and woodland soils support a more abundant and diverse ectomycorrhizal flora.
soil                0.9999794170796903^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Soil                  

inoculum                      0.8839458990819954^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Pathogen              

root                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Root                  

mycorrhizal                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Mycorrhiza            

growth medium                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Growth_medium         

seedlings                     0.9991588409821264^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Seedling              

woodland                      0.9999998999780978^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Woodland              

agricultural                  0.9999999999993179^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Agriculture           

flora                         0.9999407631669743^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Plant                 

agricultural                  0.9999999999993179^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Agriculture           

valley oak                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Quercus_lobata        

soil                          0.9999794170796903^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Soil                  

agricultural                  0.9999999999993179^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Agriculture           

mycorrhizal                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Mycorrhiza            

Valley oak                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Quercus_lobata        

valley oak                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Quercus_lobata        

propagules                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Propagule             

valley oak                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Quercus_lobata        

infection                     0.9982819890515489^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Plant_pathology       

Quercus lobata                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Quercus_lobata        

soil                          0.9999794170796903^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Soil                  

valley oak trees              1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Quercus_lobata        

woodland                      0.9999998999780978^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Woodland              

Nature Conservancy            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/The_Nature_Conservancy

soil                          0.9999794170796903^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Soil                  

mycorrhizal                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Mycorrhiza            

soils                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Soil                  

ectomycorrhizal               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Mycorrhiza            

greenhouse                    0.999999999939746^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Greenhouse            

