Abstract Atmospheric dry deposition in two forest edges was studied by means of monitoring canopy throughfall in Douglas Fir stands. Throughfall fluxes in the first 50 to 100 m of forest edges were found to be substantially higher than fluxes in the interior of forest stands. Sodium and chloride showed the steepest throughfall flux gradients. Ions important for soil acidification and eutrophication showed relatively less steep but still significant gradients. The mean increase of the throughfall flux at 10 m, with respect to the flux at 200 m from the forest edge amounted to 150�or Na , 119�or Cl−, 54�or S04 2−, 38�or NO3 − , and 39�or NH4   The enhancement of dry deposition in forest edges strongly depends on wind velocity and wind direction during dry deposition. Particularly trees in forest edges exposed to prevailing wind directions receive relatively large amounts of dry deposition.
Ions                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Ion                   

Na                            0.9185260157071126^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sodium                

chloride                      0.9999998620664978^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Chloride              

NO3                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nitrate               

NH4                           0.8542821876066041^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Ammonium              

flux                          0.999971664104164^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Flux                  

flux                          0.999971664104164^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Flux                  

wind velocity                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Wind_speed            

dry deposition                0.9970014344672866^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Deposition_(aerosol_physics)

flux                          0.999971664104164^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Flux                  

Cl−                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Chloride              

dry deposition                0.9970014344672866^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Deposition_(aerosol_physics)

Sodium                        0.9999533885102925^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sodium                

throughfall                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Throughfall           

dry deposition                0.9970014344672866^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Deposition_(aerosol_physics)

throughfall                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Throughfall           

fluxes                        0.9999079639938481^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Flux                  

eutrophication                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Eutrophication        

fluxes                        0.9999079639938481^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Flux                  

gradients                     0.9996326910054144^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Gradient              

throughfall                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Throughfall           

dry deposition                0.9970014344672866^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Deposition_(aerosol_physics)

Douglas Fir                   0.9999965746616911^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Douglas_fir           

gradients                     0.9996326910054144^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Gradient              

prevailing wind               0.9954145297358804^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Wind                  

wind direction                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Wind_direction        

canopy                        0.9999999999877218^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Canopy_(biology)      

soil acidification            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Soil_acidification    

