Abstract.   Mutual information is a generalised measure of dependence between any two variables. It can be used to quantify non-linear as well as linear dependence between any two variables. This makes mutual information an attractive alternative to the use of the correlation coefficient, which can only quantify the linear dependence pattern. Mutual information is especially suited for application to hydrological problems, because the dependence between any two hydrologic variables is seldom linear in nature. Calculation of the mutual information score involves estimation of the marginal and joint probability density functions of the two variables. This paper uses nonparametric kernel density estimation methods to estimate the probability density functions. Accurate estimation of the mutual information score using kernel methods requires selection of appropriate smoothing parameters (bandwidths) for use with the kernels. The aim of this paper is to obtain a practical method for bandwidth selection for calculation of the mutual information score. In this paper, the lag-one dependence structures of several autocorrelated time series are analysed using mutual information (note that this produces the lag-one auto-MI score, the analog of the lag-one autocorrelation). Empirical trials are used to select appropriate bandwidths for a range of underlying autoregressive and autoregressive-moving average models with normal or near-normal parent distributions. Expressions for reasonable bandwidth choices under these conditions are proposed.
kernels             0.9999600431374224^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Kernel_(statistics)   

non-linear                    0.9999999989288426^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Nonlinear_system      

probability density functions 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Probability_density_function

joint probability             0.9994866440932662^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Joint_probability_distribution

kernel methods                0.9999891877491969^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Kernel_methods        

dependence                    0.8285253274421179^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Dependent_and_independent_variables

nonparametric                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Non-parametric_statistics

kernel density estimation     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Kernel_density_estimation

linear                        0.7435430090808438^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Linearity             

correlation coefficient       0.7598880382057296^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Pearson_product-moment_correlation_coefficient

time series                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Time_series           

analog                        0.8045918633055379^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Analog_computer       

variables                     0.9999996580560849^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Random_variable       

autoregressive                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Autoregressive_model  

bandwidths                    0.9999993532083908^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Bandwidth_(signal_processing)

hydrological                  0.9999971341503763^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Hydrology             

autocorrelated                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Autocorrelation       

dependence                    0.8285253274421179^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Dependent_and_independent_variables

linear dependence             1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Linear_independence   

hydrologic                    0.9999378725471357^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Hydrology             

bandwidth                     0.9999988068090331^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Bandwidth_(signal_processing)

variables                     0.9999996580560849^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Random_variable       

variables                     0.9999996580560849^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Random_variable       

probability density functions 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Probability_density_function

bandwidths                    0.9999993532083908^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Bandwidth_(signal_processing)

autocorrelation               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Autocorrelation       

dependence                    0.8285253274421179^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Dependent_and_independent_variables

bandwidth                     0.9999988068090331^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Bandwidth_(signal_processing)

variables                     0.9999996580560849^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Random_variable       

linear dependence             1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Linear_independence   

smoothing                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Smoothing             

