Abstract.  Thin films of aluminium oxynitride with diverse composition were prepared by dc-magnetron sputtering of aluminium, utilising sputtering power as well as argon, oxygen and nitrogen gas flows to vary the composition. Since film properties depend mainly on the content of incorporated oxygen and nitrogen, a method for quantitative analysis of the main constituents based on electron probe micro analysis with energy dispersive detection was developed. The excellent precision of the quantitative results for aluminium as well as oxygen and nitrogen are shown. Furthermore, a film layer analysis program was applied for the quantification of several films deposited under the same deposition parameters on silicon wafers, from 520 nm down to 40 nm thickness, showing that electron probe micro analysis with energy dispersive detection is a reliable method for quantitative compositional analysis of thin aluminium oxynitride films down to approximately 20 nm thickness. Since this method of analysis provides only bulk information, expected inhomogeneities of the depth distribution of the film components were checked by secondary ion mass spectrometry depth profiles of two thin films and correlated to the EPMA results. The thickness of the films was determined by ellipsometry.
aluminium           0.8156841926470063^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Aluminium             

nm                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nanometre             

micro                         0.9932766940509058^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Microfluidics         

nitrogen                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nitrogen              

sputtering                    0.9999999999608917^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sputtering            

quantitative                  0.995013752277125^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Quantitative_analysis_(chemistry)

aluminium                     0.8156841926470063^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Aluminium             

inhomogeneities               0.9999998432378002^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Homogeneity_and_heterogeneity

deposition                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Thin_film             

nitrogen                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nitrogen              

quantification                0.9998780128378338^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Quantification        

film                          0.999066974330269^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Photographic_film     

film                          0.999066974330269^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Photographic_film     

aluminium oxynitride          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Aluminium_oxynitride  

precision                     0.9999999637705066^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Accuracy_and_precision

wafers                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Wafer_(electronics)   

silicon                       0.9999999999539568^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Silicon               

oxygen                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Oxygen                

electron                      0.9999718180774932^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Electron              

ellipsometry                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Ellipsometry          

film                          0.999066974330269^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Photographic_film     

quantitative analysis         0.9985522078331259^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Quantitative_analysis_(chemistry)

quantitative                  0.995013752277125^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Quantitative_analysis_(chemistry)

gas                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Gas                   

EPMA                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Electron_microprobe   

aluminium oxynitride          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Aluminium_oxynitride  

energy dispersive             1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Energy-dispersive_X-ray_spectroscopy

energy dispersive             1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Energy-dispersive_X-ray_spectroscopy

nm                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nanometre             

Thin films                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Thin_film             

thin films                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Thin_film             

sputtering                    0.9999999999608917^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sputtering            

argon                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Argon                 

nm                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nanometre             

electron                      0.9999718180774932^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Electron              

oxygen                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Oxygen                

secondary ion mass spectrometry1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Secondary_ion_mass_spectrometry

oxygen                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Oxygen                

micro                         0.9932766940509058^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Microfluidics         

nitrogen                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nitrogen              

