Abstract We describe a calculation of the spectrum of strange and nonstrange hadrons that simultaneously correlates the dressed-quark-core masses of meson and baryon ground- and excited-states within a single framework. The foundation for this analysis is a symmetry-preserving Dyson–Schwinger equation treatment of a vector×vector contact interaction. Our results exemplify and highlight the deep impact of dynamical chiral symmetry breaking on the hadron spectrum: an accurate description of the meson spectrum entails a similarly successful prediction of the spectrum of baryons, including those with strangeness. The analysis also provides numerous insights into baryon structure. For example, that baryon structure is largely flavour-blind, the first radial excitation of ground-state baryons is constituted almost entirely from axial-vector diquark correlations, and DCSB is the foundation for the ordering of low-lying baryon levels; viz., (1/2)+, (1/2)+, (1/2)−.
deep impact         0.9724742715870406^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Deep_Impact_(spacecraft)

vector                        0.9999900910248513^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Euclidean_vector      

hadron                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hadron                

spectrum                      0.8711108089443682^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Spectrum              

meson                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Meson                 

baryon                        0.9999999948176992^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Baryon                

baryon                        0.9999999948176992^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Baryon                

spectrum                      0.8711108089443682^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Spectrum              

chiral symmetry breaking      0.9990871178224737^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Chiral_symmetry       

spectrum                      0.8711108089443682^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Spectrum              

diquark                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Diquark               

baryon                        0.9999999948176992^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Baryon                

baryon                        0.9999999948176992^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Baryon                

spectrum                      0.8711108089443682^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Spectrum              

vector                        0.9999900910248513^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Euclidean_vector      

meson                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Meson                 

