Abstract Mood is an important aspect of music and knowledge of mood can be used as a basic feature in music recommender and retrieval systems. A listening experiment was carried out establishing ratings for various moods and a number of attributes, e.g., valence and arousal. The analysis of these data covers the issues of the number of basic dimensions in music mood, their relation to valence and arousal, the distribution of moods in the valence–arousal plane, distinctiveness of the labels, and appropriate (number of) labels for full coverage of the plane. It is also shown that subject-averaged valence and arousal ratings can be predicted from music features by a linear model.
linear model        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Linear_model          

arousal                       0.9999999991865138^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Arousal               

valence                       0.9999999999997726^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Valence_(psychology)  

arousal                       0.9999999991865138^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Arousal               

arousal                       0.9999999991865138^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Arousal               

valence                       0.9999999999997726^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Valence_(psychology)  

ratings                       0.6263601467325385^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Audience_measurement  

ratings                       0.6263601467325385^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Audience_measurement  

valence                       0.9999999999997726^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Valence_(psychology)  

