Abstract In the past two decades, the regional climate in China has undergone significant change, resulting in crop yield reduction and complete failure. The goal of this study is to detect the variation of temperature and precipitation for different growth periods of maize and assess their impact on phenology. The daily meteorological data in the Midwest of Jilin Province during 1960–2014 were used in the study. The ensemble empirical mode decomposition method was adopted to analyze the non-linear trend and fluctuation in temperature and precipitation, and the sensitivity of the length of the maize growth period to temperature and precipitation was analyzed by the wavelet cross-transformation method. The results show that the trends of temperature and precipitation change are non-linear for different growth periods of maize, and the average temperature in the sowing-jointing stage was different from that in the other growth stages, showing a slight decrease trend, while the variation amplitude of maximum temperature is smaller than that of the minimum temperature. This indicates that the temperature difference between day and night shows a gradually decreasing trend. Precipitation in the growth period also showed a decreasing non-linear trend, while the inter-annual variability with period of quasi-3-year and quasi-6-year dominated the variation of temperature and precipitation. The whole growth period was shortened by 10.7 days, and the sowing date was advanced by approximately 11 days. We also found that there was a significant resonance period among temperature, precipitation, and phenology. Overall, a negative correlation between phenology and temperature is evident, while a positive correlation with precipitation is exhibited. The results illustrate that the climate suitability for maize has reduced over the past decades.
resonance           0.9998652866692641^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Resonance             

correlation                   0.9999999999752163^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Correlation_and_dependence

maize                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Maize                 

meteorological                0.721393848674888^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Weather               

phenology                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Phenology             

precipitation                 0.9966146375201106^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Rain                  

non-linear                    0.9999979210251705^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Nonlinear_system      

precipitation                 0.9966146375201106^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Rain                  

maize                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Maize                 

correlation                   0.9999999999752163^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Correlation_and_dependence

non-linear                    0.9999979210251705^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Nonlinear_system      

maize                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Maize                 

Midwest                       0.999999999415536^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Midwestern_United_States

precipitation                 0.9966146375201106^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Rain                  

phenology                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Phenology             

non-linear                    0.9999979210251705^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Nonlinear_system      

precipitation                 0.9966146375201106^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Rain                  

Jilin Province                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Jilin                 

amplitude                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Amplitude             

wavelet                       0.999999999810143^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Wavelet               

crop yield                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Crop_yield            

maize                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Maize                 

China                         0.9999798800250133^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/China                 

precipitation                 0.9966146375201106^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Rain                  

phenology                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Phenology             

precipitation                 0.9966146375201106^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Rain                  

precipitation                 0.9966146375201106^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Rain                  

