Abstract  We investigated the occurrence of freezing-induced cavitation in the evergreen desert shrub Larrea tridentata and compared it to co-occurring, winter-deciduous Prosopis velutina. Field measurements indicated that xylem sap in L. tridentata froze at temperatures below c. –5°C, and that this caused no measurable cavitation for minimum temperatures above –7°C. During the same period P. velutina cavitated almost completely. In the laboratory, we cooled stems of L. tridentata to temperatures ranging from –5 to –20°C, held them at temperature for 1 or 12 h, thawed the stems at a constant rate and measured cavitation by the decrease in hydraulic conductivity of stem segments. As observed in the field, freezing exotherms occurred at temperatures between –6.5 and –9°C and as long as temperatures were held above –11°C there was no change in hydraulic conductivity after thawing. However, when stems were cooled to between –11°C and –20°C, stem hydraulic conductivity decreased linearly with minimum temperature. Minimum temperatures between –16 and –20°C were sufficient to completely eliminate hydraulic conductance. Record (>20 year) minimum isotherms in this same range of temperatures corresponded closely with the northern limit of L. tridentata in the Mojave and Sonoran deserts.
cavitation          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Cavitation            

hydraulic conductivity        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hydraulic_conductivity

hydraulic conductivity        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hydraulic_conductivity

Mojave                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Mojave_Desert         

desert                        0.7564877704908797^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Deserts_and_xeric_shrublands

isotherms                     0.9986219063291872^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Isothermal_process    

cavitation                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Cavitation            

7°                            0.8709742633982268^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/7th_parallel_north    

cavitation                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Cavitation            

Sonoran deserts               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Sonoran_Desert        

shrub                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Shrub                 

Prosopis                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Prosopis              

evergreen                     0.9999999445799419^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Evergreen             

Larrea tridentata             1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Larrea_tridentata     

hydraulic                     0.8352359480663695^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Hydraulics            

11°                           0.9703607227727372^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/11th_parallel_north   

11°                           0.9703607227727372^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/11th_parallel_north   

hydraulic conductivity        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hydraulic_conductivity

xylem sap                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Plant_sap             

