Abstract. The patterns of resource translocation among interconnected ramets within a clone may show diversity. In order to understand the pattern of inter-ramet water translocation in natural clones of the rhizomatous shrub Hedysarum laeve (Leguminosae), which frequently dominates inland dunes in semi-arid areas of China, acid fuchsin dye application combined with spectrometric analysis was employed. Dye solutions were fed to the base of plants (near the parent ramet) and to the apical portions (near one of the youngest shoots) and the amount of dye in shoots and rhizomes was measured spectrometrically after 24 h. The total amount of dye translocated from the base in the acropetal direction was approximately four times as high as that of basipetal translocation from cut sections near the apex. Most of the dye was detected in the shoots with very little found in the rhizomes. The average percentage allocation of dye from donor ramet transferred to recipient ramets in the ramet hierarchy closer, due to acropetal and/or basipetal translocation, was significantly greater than those in the ramet hierarchy less close to it. The ramet-hierarchy order had a great influence on dye translocation in either the acropetal or basipetal direction. It is inferred that the donor ramet would transport water towards its recipient ramets in different ramet hierarchies in unequal proportions in this species.
Hedysarum           0.9999999999828333^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Hedysarum             

dye                           0.8158442647426571^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Staining              

ramet                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Clonal_colony         

semi-arid                     0.9308718411616759^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Semi-arid_climate     

translocation                 0.9665579129723836^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Chromosomal_translocation

rhizomes                      0.9999999999996589^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Rhizome               

translocation                 0.9665579129723836^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Chromosomal_translocation

China                         0.9998575936724508^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/China                 

ramets                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Clonal_colony         

translocation                 0.9665579129723836^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Chromosomal_translocation

acid fuchsin                  0.9999999999979536^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Acid_fuchsin          

translocation                 0.9665579129723836^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Chromosomal_translocation

ramets                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Clonal_colony         

ramet                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Clonal_colony         

species                       0.9954073426530723^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Species               

dye                           0.8158442647426571^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Staining              

rhizomes                      0.9999999999996589^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Rhizome               

ramet                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Clonal_colony         

rhizomatous                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Rhizome               

shrub                         0.9999999999974989^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Shrub                 

Leguminosae                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Fabaceae              

acropetal                     0.9999999999389502^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Acropetal             

translocation                 0.9665579129723836^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Chromosomal_translocation

dye                           0.8158442647426571^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Staining              

dunes                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Dune                  

dye                           0.8158442647426571^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Staining              

ramet                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Clonal_colony         

ramets                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Clonal_colony         

ramet                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Clonal_colony         

dye                           0.8158442647426571^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Staining              

dye                           0.8158442647426571^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Staining              

clones                        0.9999982991692744^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cloning               

acropetal                     0.9999999999389502^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Acropetal             

acropetal                     0.9999999999389502^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Acropetal             

ramet                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Clonal_colony         

