Abstract Data on the occurrence of species with fleshy diaspores and on breeding birds were collected in three abandoned orchards, resp. 8, 11 and 24 years after abandonment. Most of the 41 phanerophytes and vines with fleshy diaspores are also found in the borders of the orchards, the more so if the number of years since abandonment increases. Most species have small seeds and red or black coloured diaspores, most of which ripen in autumn. The frequent species show a characteristic distribution pattern in relation to the distance of the fruit trees: high densities near the trunk and uniform decrease with distance. This is explained by the behaviour of frugivorous birds. No correlation was found between distribution patterns and soil conditions. Age structure of colonizing species shows a distribution conforming an inversed J curve in the more recently abandoned orchard. The main conclusions are:1.Pioncor trees are attractive for frugivorous birds and may act as nuclei. This supports the facilitation model.2.The distribution of diaspores by birds helps to homogenize the species distribution on the regional level but at the site level individual differences in nucleation cause a heterogeneity.
fruit               0.9999999999988631^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Fruit                 

diaspores                     0.9999999708528553^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Diaspore_(botany)     

species                       0.9528503387142038^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Species               

orchards                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Orchard               

species                       0.9528503387142038^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Species               

J curve                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/J_curve               

diaspores                     0.9999999708528553^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Diaspore_(botany)     

red                           0.564423152853361^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Red_blood_cell        

correlation                   0.9999959607106073^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Correlation_and_dependence

nucleation                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nucleation            

frugivorous                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Frugivore             

seeds                         0.9999999999953388^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Seed                  

species                       0.9528503387142038^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Species               

birds                         0.9999753766679323^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Bird                  

diaspores                     0.9999999708528553^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Diaspore_(botany)     

species                       0.9528503387142038^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Species               

birds                         0.9999753766679323^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Bird                  

nuclei                        0.9825336729390798^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cell_nucleus          

orchards                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Orchard               

species                       0.9528503387142038^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Species               

frugivorous                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Frugivore             

birds                         0.9999753766679323^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Bird                  

birds                         0.9999753766679323^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Bird                  

diaspores                     0.9999999708528553^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Diaspore_(botany)     

