Abstract The aim of this study is to assess the mycorrhizal status of Eucalyptus plantations in south China and to determine the need for inoculation. In four provinces in south China, 155 plantations were sampled for sporocarps of ectomycorrhizal (ECM) fungi, spores of arbuscular mycorrhizal (AM) fungi, and mycorrhizas over 2 years. This study revealed a low above-ground diversity of ECM fungi consisting of 15 taxa fruiting beneath Eucalyptus plantations. The most common ECM genera were Scleroderma and Pisolithus, but they were infrequent. A total of 21 AM fungi, mostly Glomus species, were recognized from spores collected from eucalypt plantations. Four Glomus species were frequently present in soils, but spore density and relative abundance of AM fungi were generally low. Eucalypt roots from all plantation sites were poorly colonized by either ECM fungi or AM fungi. A bioassay with E. urophylla as a bait host, using soils collected from 11 eucalypt plantations, confirmed low levels of inoculum of both ECM and AM fungi in field soil. This is the first integrated study on the mycorrhizal status of eucalypt plantations in China. Findings from this research can be used to encourage adoption of mycorrhizal technology by eucalypt nurseries in the region. The potential of using spores of compatible ECM fungi or collections for forest nurseries is discussed.
Eucalypt            0.9999999942491513^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Eucalyptus            

fungi                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Fungus                

AM                            0.7448241510993063^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Amplitude_modulation  

bioassay                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Bioassay              

fungi                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Fungus                

Scleroderma                   0.9999999999969305^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Scleroderma_(fungus)  

plantations                   0.9999999799399577^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Plantation            

fungi                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Fungus                

fungi                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Fungus                

mycorrhizal                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Mycorrhiza            

fungi                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Fungus                

eucalypt                      0.9999999975725586^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Eucalyptus            

plantations                   0.9999999799399577^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Plantation            

spore                         0.9999999999997726^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Spore                 

eucalypt                      0.9999999975725586^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Eucalyptus            

mycorrhizal                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Mycorrhiza            

spores                        0.9999999999992042^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Spore                 

Eucalyptus                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Eucalyptus            

Glomus                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Glomus_(fungus)       

spores                        0.9999999999992042^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Spore                 

spores                        0.9999999999992042^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Spore                 

ECM                           0.9966021267165175^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Extracellular_matrix  

ECM                           0.9966021267165175^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Extracellular_matrix  

AM                            0.7448241510993063^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Amplitude_modulation  

AM                            0.7448241510993063^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Amplitude_modulation  

AM                            0.7448241510993063^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Amplitude_modulation  

species                       0.872096535870279^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Species               

China                         0.9999542573617309^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/China                 

plantations                   0.9999999799399577^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Plantation            

eucalypt                      0.9999999975725586^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Eucalyptus            

ECM                           0.9966021267165175^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Extracellular_matrix  

plantations                   0.9999999799399577^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Plantation            

taxa                          0.9998332550234618^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Taxon                 

fungi                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Fungus                

plantation                    0.9999999657320592^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Plantation            

