Abstract  Various kinds of precipitates can influence the mechanical properties of Ti-stabilized steels. The qualitative composition of the Ti inclusions can be characterized microscopically, whereas for quantitative information to be obtained time-consuming selective dissolution must be used. The present study aims at chemical speciation of the isolated precipitates as a solid phase with the help of soft-X-ray spectrometry. Whether the method is capable of giving both qualitative and quantitative information on the composition of Ti-mixtures is discussed. The precipitates in Ti-stabilized steels are investigated after chemical dissolution of the steel matrix with a bromine/methanol mixture (1:10). By combination of soft-X-ray spectrometry with X-ray fluorescence (XRF) and scanning electron microscopy (SEM) both qualitative and quantitative characterization of the precipitates can be performed. They were found to consist mainly of TiC and TiN.
XRF                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/X-ray_fluorescence    

spectrometry                  0.9999936440289815^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Mass_spectrometry     

scanning electron microscopy  0.9999962561057198^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Scanning_electron_microscope

TiC                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Titanium_carbide      

X-ray fluorescence            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/X-ray_fluorescence    

inclusions                    0.9616507340635578^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Inclusion_body        

matrix                        0.8731006987413238^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Matrix_(chemical_analysis)

spectrometry                  0.9999936440289815^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Mass_spectrometry     

speciation                    0.9999999596185497^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Speciation            

bromine                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Bromine               

methanol                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Methanol              

SEM                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Scanning_electron_microscope

steel                         0.9991928852569448^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Steel                 

TiN                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Titanium_nitride      

