Abstract Excessive corrosion of silver nanoparticles is a significant impediment to their use in a variety of potential applications in the biosensing, plasmonic and antimicrobial fields. Here we examine the environmental degradation of triangular silver nanoparticles (AgNP) in laboratory air. In the early stages of corrosion, transmission electron microscopy shows that dissolution of the single-crystal, triangular, AgNP (side lengths 50–120 nm) is observed with the accompanying formation of smaller, polycrystalline Ag particles nearby. The new particles are then observed to corrode to Ag2S and after 21 days nearly full corrosion has occurred, but some with minor Ag inclusions remaining. In contrast, a bulk Ag sheet, studied in cross section, showed an adherent corrosion layer of only around 20–50 nm in thickness after over a decade of being exposed to ambient air. The results have implications for antibacterial properties and ecotoxicology of AgNP during corrosion as the dissolution and reformation of Ag particles during corrosion will likely be accompanied by the release of Ag  ions.
biosensing          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Biosensor             

silver nanoparticles          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Silver_nanoparticles  

corrosion                     0.9999999669854566^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Corrosion             

Ag2S                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Silver_sulfide        

antimicrobial                 0.9999030955562372^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Antimicrobial         

nm                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nanometre             

environmental degradation     0.7380160643870967^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Environmental_degradation

ions                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Ion                   

silver nanoparticles          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Silver_nanoparticles  

corrosion                     0.9999999669854566^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Corrosion             

polycrystalline               0.9999889313960268^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Polycrystal           

ecotoxicology                 0.9999999999998863^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Ecotoxicology         

nm                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nanometre             

corrosion                     0.9999999669854566^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Corrosion             

corrosion                     0.9999999669854566^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Corrosion             

plasmonic                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Plasmon               

inclusions                    0.805189555014915^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Inclusion_(mineral)   

corrosion                     0.9999999669854566^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Corrosion             

ambient                       0.9999982368849114^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Room_temperature      

antibacterial                 0.751428523459716^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Bacteria              

corrosion                     0.9999999669854566^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Corrosion             

transmission electron microscopy1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Transmission_electron_microscopy

