Abstract  Background: To investigate retinal capillary blood flow characteristics in patients with age-related maculopathy (ARM). Methods: Retinal capillary blood volume (VOL), blood flow (FLOW), and velocity (VEL) were measured in four macular sectors (I, II, III, IV) and in two areas beyond the temporal superior and inferior major vessel arcades (V and VI) in: 10 eyes with early ARM (drusen ≥63 µm and/or atrophy of the retinal pigment epithelium, RPE, <175 µm and/or proliferation of RPE), 13 with late ARM (exudative), 10 with late ARM (fibrotic), 14 normal eyes of 14 children of patients with ARM, and in 4 age- and sex-matched control groups using the Heidelberg retinal flowmeter (HRF). Statistical analysis was performed with the exact Wilcoxon test using an additional adjustment procedure by Bonferroni-Holm. Results: As compared to the control group, there was no significant change of VOL, FLOW, and VEL in patients with early ARM. In patients with late ARM (exudative), there was a significant higher FLOW in sectors I, II, and IV and a higher VOL and VEL in sectors III and IV. The group with late ARM (fibrotic) showed a reduction of VOL and FLOW in sectors I–IV and of VEL in sectors II and IV. In children of ARM patients, VOL, FLOW, and VEL of sectors I–VI did not differ from the control group. Conclusion: HRF measurements in patients with ARM indicate an increased macular retinal capillary blood flow in patients with the exudative form of late ARM and a decreased macular perfusion in those with the fibrotic form.
ARM                 0.9995394157163962^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/ARM_architecture      

ARM                           0.9995394157163962^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/ARM_architecture      

perfusion                     0.9999666541136217^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Perfusion             

exudative                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Exudate               

blood                         0.9678308060444208^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Blood                 

blood                         0.9678308060444208^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Blood                 

macular                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Macula_of_retina      

µm                            0.9999657428194797^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Micrometre            

retinal                       0.9999999999973852^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Retina                

maculopathy                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Maculopathy           

arcades                       0.723322759799189^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Arcade_game           

blood                         0.9678308060444208^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Blood                 

drusen                        0.9999999999899956^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Drusen                

RPE                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Retinal_pigment_epithelium

ARM                           0.9995394157163962^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/ARM_architecture      

ARM                           0.9995394157163962^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/ARM_architecture      

FLOW                          0.9999989503393005^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Flow_(band)           

µm                            0.9999657428194797^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Micrometre            

blood                         0.9678308060444208^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Blood                 

macular                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Macula_of_retina      

FLOW                          0.9999989503393005^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Flow_(band)           

FLOW                          0.9999989503393005^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Flow_(band)           

velocity                      0.9997911083742813^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Aorta                 

retinal                       0.9999999999973852^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Retina                

exudative                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Exudate               

ARM                           0.9995394157163962^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/ARM_architecture      

retinal                       0.9999999999973852^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Retina                

ARM                           0.9995394157163962^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/ARM_architecture      

ARM                           0.9995394157163962^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/ARM_architecture      

RPE                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Retinal_pigment_epithelium

Heidelberg                    0.8904687965256534^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Heidelberg            

macular                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Macula_of_retina      

FLOW                          0.9999989503393005^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Flow_(band)           

FLOW                          0.9999989503393005^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Flow_(band)           

exudative                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Exudate               

retinal pigment epithelium    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Retinal_pigment_epithelium

ARM                           0.9995394157163962^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/ARM_architecture      

atrophy                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Atrophy               

ARM                           0.9995394157163962^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/ARM_architecture      

ARM                           0.9995394157163962^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/ARM_architecture      

ARM                           0.9995394157163962^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/ARM_architecture      

