Abstract The band-legged ground cricket Pteronemobius nigrofasciatus shows a clear photoperiodic response at 25°C with respect to the control of the induction of embryonic diapause. When crickets were reared under a short-day (LD 12 ∶ 12) photoperiod and then transferred to a long-day (LD 16 ∶ 8) photoperiod upon adult emergence, the adults mainly laid nondiapause eggs. However, adults maintained continuously under short-day conditions laid dispause eggs. When compound eyes were bilaterally removed after adult emergence, the crickets mainly laid nondiapause eggs, irrespective of the photoperiod. Thus, the adults completely lost their sensitivity to photoperiod after bilateral removal of their compound eyes. Unilateral removal of the compound eye also affected the crickets under a short-day photoperiod, and the incidence of diapause eggs was intermediate between that laid by intact adults and that laid by adults after the bilateral removal of compound eyes. The incidence of diapause eggs in sham-operated crickets was not significantly different from that in intact crickets under both sets of photoperiodic conditions. These results show that P. nigrofasciatus perceives the photoperiod through its compound eyes.
cricket             0.7179701306052838^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cricket               

incidence                     0.8156083329683017^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Incidence_(epidemiology)

photoperiod                   0.9999999997315854^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Photoperiodism        

diapause                      0.9999999999758984^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Diapause              

crickets                      0.9947249693084852^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cricket_(insect)      

compound eyes                 0.9999999958105263^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Eye                   

compound eye                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Eye                   

compound eyes                 0.9999999958105263^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Eye                   

LD                            0.6598144188324829^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Median_lethal_dose    

crickets                      0.9947249693084852^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cricket_(insect)      

photoperiod                   0.9999999997315854^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Photoperiodism        

photoperiod                   0.9999999997315854^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Photoperiodism        

eggs                          0.9956374216145206^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Egg_(biology)         

photoperiod                   0.9999999997315854^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Photoperiodism        

diapause                      0.9999999999758984^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Diapause              

embryonic diapause            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Embryonic_diapause    

eggs                          0.9956374216145206^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Egg_(biology)         

eggs                          0.9956374216145206^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Egg_(biology)         

crickets                      0.9947249693084852^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cricket_(insect)      

crickets                      0.9947249693084852^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cricket_(insect)      

LD                            0.6598144188324829^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Median_lethal_dose    

incidence                     0.8156083329683017^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Incidence_(epidemiology)

compound eyes                 0.9999999958105263^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Eye                   

photoperiod                   0.9999999997315854^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Photoperiodism        

crickets                      0.9947249693084852^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cricket_(insect)      

photoperiod                   0.9999999997315854^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Photoperiodism        

compound eyes                 0.9999999958105263^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Eye                   

eggs                          0.9956374216145206^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Egg_(biology)         

eggs                          0.9956374216145206^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Egg_(biology)         

