Abstract A construction is presented which can be utilized to prove incompressibility of boundary in a 3-manifold W. One constructs a new 3-manifold DW by doubling W along a subsurface in its boundary. If DW is hyperbolic, and if W has compressible boundary, then DW must have a longitude of 'length' less than 4. This can be applied to show that an arc α that is a candidate for an unknotting tunnel in a 3-manifold cannot be an unknotting tunnel. It can also be used to show that a 'tubed surface' is incompressible. For knot and link complements in S 3, and α an unknotting tunnel, DW is almost always hyperbolic. Empirically, this construction appears to provide a surprisingly effective procedure for demonstrating that specific arcs are not unknotting tunnels.
knot                0.9999843513138001^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Knot_(mathematics)    

tunnel                        0.9999988318544412^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Tunnel                

hyperbolic                    0.99607438076164^^http://www.w3.org/2001/XMLSchema#double             http://dbpedia.org/resource/Hyperbolic_geometry   

longitude                     0.9995349129146579^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Longitude             

S 3                           0.565836309465813^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/S3_(Munich)           

incompressible                0.9999993980649826^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Incompressible_surface

hyperbolic                    0.99607438076164^^http://www.w3.org/2001/XMLSchema#double             http://dbpedia.org/resource/Hyperbolic_geometry   

tunnel                        0.9999988318544412^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Tunnel                

DW                            0.6366042565606248^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Drum_Workshop         

compressible                  0.9372456712460652^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Compressibility       

3-manifold                    0.9999999997855866^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/3-manifold            

DW                            0.6366042565606248^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Drum_Workshop         

3-manifold                    0.9999999997855866^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/3-manifold            

tunnel                        0.9999988318544412^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Tunnel                

DW                            0.6366042565606248^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Drum_Workshop         

3-manifold                    0.9999999997855866^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/3-manifold            

DW                            0.6366042565606248^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Drum_Workshop         

