Summary The use of beef serum as an essential ingredient in a medium for the cultivation of the Noguchi strain ofTreponema pallidum is described. A proportion of 8�/v of beef serum can replace the addition of 10�f rabbit serum, under the condition that also basal medium itself is optimal for the cultivation of Noguchi strain. With beef serum employed in this manner, quantitatively the same growth as with rabbit serum has been obtained, with the only difference that maximum is reached somewhat later. Growth curves of Noguchi strain in a medium supplement with 8�f beef serum (medium “61BS8”) are presented and also the correlation of turbidimetric and numeric values between which a linear relationship has been established.
pallidum            0.999999999999261^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Globus_pallidus       

rabbit                        0.9999978143754913^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Rabbit                

basal                         0.6159574720933455^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Anatomical_terms_of_location

serum                         0.9942368193693932^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Serum_(blood)         

serum                         0.9942368193693932^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Serum_(blood)         

beef                          0.9997700083676941^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Beef                  

serum                         0.9942368193693932^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Serum_(blood)         

beef                          0.9997700083676941^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Beef                  

beef                          0.9997700083676941^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Beef                  

serum                         0.9942368193693932^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Serum_(blood)         

beef                          0.9997700083676941^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Beef                  

serum                         0.9942368193693932^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Serum_(blood)         

rabbit                        0.9999978143754913^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Rabbit                

serum                         0.9942368193693932^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Serum_(blood)         

correlation                   0.999993143431796^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Correlation_and_dependence

