Abstract The ponderomotive force (PMF) is a ubiquitous nonlinear wave effect arising in plasma physics when applied wave fields or plasma parameters have significant spatial gradients. Some basic properties of the PMF are described as they relate to ULF hydromagnetic waves in the magnetosphere. Examples are given of recent results obtained using both analytical and numerical techniques for waves from the lowest frequencies (determined by the dimensions of the magnetosphere) up to the vicinity of the ion cyclotron frequency. These results include the possibilities that the PMF may transport plasma over large distances in the magnetosphere, and that the PMF may energize magnetospheric ions significantly. In particular the PMF may play a role in transporting and energizing O  ions from the ionosphere into the body of the magnetosphere. The PMF can also generate nonlinear coupling between the slow magnetosonic mode and the other hydromagnetic modes. This should lead to limitation of density enhancements and, notably in the case of standing Alfvén waves, to spatial harmonic generation, secularly growing frequency shifts, and saturation of driven wave fields. Some implications of these results for the magnetosphere are discussed.
magnetosphere       0.9999999797272496^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Magnetosphere         

ions                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Ion                   

magnetosphere                 0.9999999797272496^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Magnetosphere         

ionosphere                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Ionosphere            

harmonic                      0.9668634377229758^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Harmonic_oscillator   

nonlinear                     0.9999975106808567^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Nonlinear_system      

ions                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Ion                   

magnetospheric                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Magnetosphere         

magnetosphere                 0.9999999797272496^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Magnetosphere         

plasma parameters             1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Plasma_parameters     

Alfvén waves                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Alfvén_wave           

nonlinear                     0.9999975106808567^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Nonlinear_system      

magnetosphere                 0.9999999797272496^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Magnetosphere         

ponderomotive force           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Ponderomotive_force   

plasma physics                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Plasma_(physics)      

plasma                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Plasma_(physics)      

magnetosphere                 0.9999999797272496^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Magnetosphere         

