Summary Mesozoic melilite-bearing ultramafic lamprophyres are developed as sill, dyke and plug-like intrusive bodies in the East Antarctic Beaver Lake area. They consist of varying amounts of olivine, melilite, phlogopite, nepheline, titanomagnetite and perovskite as major phases, accompanied by minor amounts of apatite, carbonate, spinel, glass and, rarely, monticellite. The rocks are mineralogically and geochemically broadly similar to olivine melilitites, differing in higher CO2 and modal phlogopite and carbonate contents. The ultramafic lamprophyres are MgO-rich (13.4–20.5 wt�and SiO2-poor (32.8–37.2 wt� indicative of a near-primary nature. Major and trace element features are consistent with minor fractionation of olivine and Cr-spinel from melts originating at depths of 130–140 km. Primary melts originated by melting of upper mantle peridotite which had been veined by phlogopite   carbonate   clinopyroxene-bearing assemblages less than 200 Ma before eruption. The presence of the veins and their time of formation is required to explain high incompatible trace element contents and growth of 87Sr/86Sr, leaving 143Nd/144Nd unaffected. The major element, compatible trace element, and most radiogenic isotope characteristics are derived from melting of the wall-rock peridotite. The depth of about 130 km is indicated by the presence of phlogopite rather than amphibole in the veins, by control of the REE pattern by residual garnet, by the high MgO content of the rocks, and by the expected intersection of the rift-flank geotherm with the solidus at this depth. The higher CO2 contents than are characteristic for olivine melilitites favoured the crystallization of melilite at crustal pressures, and suppressed the crystallization of clinopyroxene. The Beaver Lake ultramafic lamprophyres are a distal effect of the breakup of Gondwanaland, too distal to show a geochemical signature of the Kerguelen plume. Upward and outward movement of the asthenosphere-lithosphere boundary beneath the Lambert-Amery rift led first to the production of phlogopite- and carbonate-rich veins, and later to the generation of the ultramafic lamprophyres themselves.
CO2                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Carbon_dioxide        

olivine                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Olivine               

fractionation                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Fractional_crystallization_(geology)

ultramafic                    0.9999612617689424^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Mafic                 

peridotite                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Peridotite            

modal                         0.9999801628526608^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Mode_(music)          

veins                         0.9999999999972715^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Vein_(geology)        

trace element                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Trace_element         

titanomagnetite               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Magnetite             

Gondwanaland                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Gondwana              

carbonate                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Carbonate             

dyke                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Dike_(geology)        

upper mantle                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Mantle_(geology)      

carbonate                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Carbonate             

crystallization               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Fractional_crystallization_(geology)

phlogopite                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Phlogopite            

veins                         0.9999999999972715^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Vein_(geology)        

geotherm                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Geothermal_gradient   

Mesozoic                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Mesozoic              

monticellite                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Monticellite          

Antarctic                     0.9904861996874601^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Antarctic_Plate       

perovskite                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Perovskite            

garnet                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Garnet                

phlogopite                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Phlogopite            

Kerguelen                     0.9999258635741376^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Kerguelen_Islands     

Beaver Lake                   0.9884236088952513^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Beaver_Lake_(Arkansas)

melilite                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Melilite              

ultramafic                    0.9999612617689424^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Mafic                 

